STRUCTURE,STRUCTURE_ID,freq,unit,age,agechild,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,AT,2011,46,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,AT,2012,50,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,AT,2013,44,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,AT,2014,38,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,AT,2015,47,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,AT,2016,48,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,AT,2017,42,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,AT,2018,42,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,AT,2019,44,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,AT,2020,48,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,AT,2021,42,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BE,2011,119,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BE,2012,110,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BE,2013,97,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BE,2014,89,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BE,2015,82,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BE,2016,90,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BE,2017,97,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BE,2018,112,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BE,2019,107,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BE,2020,96,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BG,2011,150,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BG,2012,112,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BG,2013,111,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BG,2014,123,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BG,2015,97,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BG,2016,103,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BG,2017,104,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BG,2018,87,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BG,2019,73,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BG,2020,61,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,BG,2021,76,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,CH,2011,54,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,CH,2012,53,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,CH,2013,47,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,CH,2014,53,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,CH,2015,44,
dataflow,ESTAT:HLTH_CD_APERRO(1.0),A,NR,TOTAL,D1-6,TOT_IN,CH,2016,46,
