STRUCTURE,STRUCTURE_ID,freq,unit,resid,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,AT,2011,2,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,AT,2012,1.9,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,AT,2013,1.9,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,AT,2014,2,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,AT,2015,2,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,AT,2016,1.9,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,AT,2017,1.7,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,AT,2018,1.6,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,AT,2019,1.9,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,AT,2020,2.1,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,AT,2021,1.9,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BE,2011,1.9,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BE,2012,1.7,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BE,2013,1.7,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BE,2014,1.6,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BE,2015,1.6,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BE,2016,1.7,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BE,2017,1.8,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BE,2018,1.8,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BE,2019,1.8,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BE,2020,1.7,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BG,2011,3.9,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BG,2012,3,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BG,2013,3.1,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BG,2014,3.1,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BG,2015,2.7,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BG,2016,2.7,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BG,2017,2.6,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BG,2018,2.4,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BG,2019,2.2,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BG,2020,1.9,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,BG,2021,2.2,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,CH,2011,2.7,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,CH,2012,2.7,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,CH,2013,2.9,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,CH,2014,2.8,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,CH,2015,2.8,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,CH,2016,2.7,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,CH,2017,2.5,
dataflow,ESTAT:HLTH_CD_APERRTO(1.0),A,RT,TOT_IN,ENEOMORRT,CH,2018,2.4,
