STRUCTURE,STRUCTURE_ID,freq,unit,sex,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,AT,2011,2381,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,AT,2012,2326,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,AT,2013,2245,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,AT,2014,2302,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,AT,2015,2187,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,AT,2016,2161,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,AT,2017,2073,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,AT,2018,2084,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,AT,2019,2037,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,AT,2020,2054,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BE,2011,2783,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BE,2012,2677,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BE,2013,2700,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BE,2014,2523,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BE,2015,2580,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BE,2016,2423,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BE,2017,2428,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BE,2018,2420,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BE,2019,2312,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BE,2020,2359,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BG,2011,4491,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BG,2012,4245,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BG,2013,4099,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BG,2014,4404,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BG,2015,4179,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BG,2016,4086,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BG,2017,4089,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BG,2018,4080,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BG,2019,3896,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,BG,2020,4377,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,CH,2011,2072,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,CH,2012,2027,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,CH,2013,1961,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,CH,2014,1884,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,CH,2015,1897,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,F,A-R_V-Y,CH,2016,1909,
