STRUCTURE,STRUCTURE_ID,freq,unit,sex,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,AT,2011,47,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,AT,2012,55,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,AT,2013,61,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,AT,2014,59,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,AT,2015,87,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,AT,2016,113,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,AT,2017,136,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,AT,2018,156,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,AT,2019,163,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,AT,2020,130,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,AT,2021,174,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BE,2011,593,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BE,2012,680,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BE,2013,727,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BE,2014,666,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BE,2015,453,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BE,2016,413,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BE,2017,351,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BE,2018,414,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BE,2019,366,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BE,2020,362,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BG,2011,106,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BG,2012,147,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BG,2013,110,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BG,2014,77,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BG,2015,161,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BG,2016,173,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BG,2017,223,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BG,2018,165,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BG,2019,98,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BG,2020,106,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,BG,2021,112,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CH,2011,95,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CH,2012,89,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CH,2013,98,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CH,2014,83,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CH,2015,98,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CH,2016,96,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CH,2017,103,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CH,2018,96,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CH,2019,97,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CH,2020,97,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CH,2021,111,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CY,2011,15,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CY,2012,22,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CY,2013,21,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CY,2014,33,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CY,2015,49,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CY,2016,37,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CY,2017,50,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CY,2018,33,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CY,2019,58,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CY,2020,51,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CY,2021,60,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CZ,2011,390,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CZ,2012,484,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CZ,2013,538,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CZ,2014,599,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CZ,2015,739,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CZ,2016,731,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CZ,2017,813,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CZ,2018,595,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CZ,2019,665,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CZ,2020,656,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,CZ,2021,707,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DE,2011,3864,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DE,2012,4361,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DE,2013,4058,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DE,2014,4159,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DE,2015,4634,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DE,2016,3634,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DE,2017,3630,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DE,2018,3749,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DE,2019,3405,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DE,2020,3079,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DE,2021,3159,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DK,2011,123,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DK,2012,181,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DK,2013,225,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DK,2014,175,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DK,2015,232,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DK,2016,203,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DK,2017,191,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DK,2018,229,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DK,2019,287,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,DK,2020,286,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EE,2011,2,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EE,2012,6,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EE,2013,2,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EE,2014,14,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EE,2015,16,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EE,2016,9,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EE,2017,28,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EE,2018,19,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EE,2019,37,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EE,2020,46,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EL,2011,1965,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EL,2012,2442,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EL,2013,2355,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EL,2014,1845,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EL,2015,2217,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EL,2016,2227,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EL,2017,2250,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EL,2018,2265,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EL,2019,2269,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EL,2020,2059,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,ES,2011,1641,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,ES,2012,1578,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,ES,2013,1559,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,ES,2014,1758,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,ES,2015,2307,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,ES,2016,2165,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,ES,2017,2064,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,ES,2018,1614,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,ES,2019,1506,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,ES,2020,1484,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,ES,2021,1520,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EU27_2020,2011,17401,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EU27_2020,2012,19214,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EU27_2020,2013,19462,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EU27_2020,2014,19403,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EU27_2020,2015,22433,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EU27_2020,2016,19070,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EU27_2020,2017,20439,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EU27_2020,2018,19854,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EU27_2020,2019,20155,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EU27_2020,2020,18227,
dataflow,ESTAT:HLTH_CD_IDO(1.0),A,NR,F,A41,EU28,2011,18917,
