STRUCTURE,STRUCTURE_ID,freq,unit,sex,indic_de,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,AT,2011,1.36,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,AT,2012,1.6,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,AT,2013,1.29,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,AT,2014,1.5,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,AT,2015,1.42,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,AT,2016,1.45,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,AT,2017,1.45,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,AT,2018,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,AT,2019,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,AT,2020,1.51,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,BE,2011,1.64,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,BE,2012,1.58,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,BE,2013,1.57,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,BE,2014,1.46,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,BE,2015,1.42,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,BE,2016,1.2,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,BE,2017,1.54,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,BE,2018,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,BE,2019,0,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,BE,2020,1.56,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,BG,2011,3.51,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,BG,2012,2.99,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,BG,2013,3.08,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,BG,2014,3.4,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,BG,2015,2.82,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,BG,2016,2.55,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,BG,2017,2.83,
dataflow,ESTAT:HLTH_CD_INFO(1.0),A,RT,F,INFMORRT,A-R_V-Y,BG,2018,0,
