STRUCTURE,STRUCTURE_ID,freq,unit,sex,age,indic_de,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A-R_V-Y,EU27_2020,2011,1.15,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A-R_V-Y,EU27_2020,2012,1.13,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A-R_V-Y,EU27_2020,2013,1.1,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A-R_V-Y,EU27_2020,2014,1.09,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A-R_V-Y,EU27_2020,2015,1.09,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A-R_V-Y,EU27_2020,2016,1.08,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A-R_V-Y,EU27_2020,2017,1.08,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A-R_V-Y,EU27_2020,2018,1.06,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A-R_V-Y,EU27_2020,2019,1.04,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A-R_V-Y,EU27_2020,2020,1.04,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A-R_V-Y,EU28,2011,1.16,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A-R_V-Y,EU28,2012,1.14,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A-R_V-Y,EU28,2013,1.11,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A-R_V-Y,EU28,2014,1.1,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A-R_V-Y,EU28,2015,1.09,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A-R_V-Y,EU28,2016,1.11,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A-R_V-Y,EU28,2017,1.09,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A_B,EU27_2020,2011,0.01,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A_B,EU27_2020,2012,0,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A_B,EU27_2020,2013,0,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A_B,EU27_2020,2014,0,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A_B,EU27_2020,2015,0,
dataflow,ESTAT:HLTH_CD_INFOEU(1.0),A,RT,F,D0-27,INFMORRT,A_B,EU27_2020,2016,0,
