STRUCTURE,STRUCTURE_ID,freq,icha_hc,indic_he,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,1989,11.01,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,1990,11.12,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,1991,10.50,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,1992,10.15,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,1993,9.96,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,1994,9.60,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,1995,9.70,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,1996,9.52,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,1997,8.27,b
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,1998,8.20,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,1999,7.80,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2000,7.55,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2001,7.41,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2002,7.29,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2003,7.16,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2004,7.20,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2005,6.95,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2006,6.87,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2007,6.79,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2008,6.76,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2009,6.68,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2010,6.61,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2011,6.55,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2012,6.50,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2013,6.50,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2014,6.50,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2015,6.45,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2016,6.40,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2017,6.36,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2018,6.31,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,AT,2019,6.31,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2000,8.20,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2001,8.10,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2002,8.10,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2003,8.00,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2004,7.90,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2005,7.90,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2006,7.80,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2007,7.70,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2008,7.40,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2009,7.20,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2010,7.20,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2011,7.10,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2012,7.00,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2013,6.90,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2014,6.90,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2015,6.80,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2016,6.70,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2017,6.60,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2018,6.60,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BE,2019,6.48,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,BG,2019,4.70,
dataflow,ESTAT:HLTH_CO_DISCHLS(1.0),A,HC1,ALOS,NR,CH,1975,15.00,
