STRUCTURE,STRUCTURE_ID,freq,unit,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,AT,2005,1.15,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,AT,2006,1.16,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,AT,2007,1.16,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,AT,2008,1.22,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,AT,2009,1.12,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,AT,2010,1.04,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,AT,2011,1.94,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,AT,2012,2.40,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,AT,2013,3.36,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,AT,2014,3.93,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,AT,2015,1.15,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,AT,2016,1.19,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,AT,2017,1.13,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,AT,2018,1.14,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,AT,2019,1.17,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,BE,2012,1.29,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,BE,2014,1.32,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,BE,2016,3.23,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,BE,2017,1.45,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,BE,2018,1.54,
