STRUCTURE,STRUCTURE_ID,freq,hlthcare,indic_he,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,1990,51.53,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,1991,54.09,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,1992,54.28,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,1993,55.11,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,1994,52.61,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,1995,58.79,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,1996,62.94,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,1997,30.28,b
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,1998,28.66,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,1999,21.43,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,2000,23.15,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,2001,18.56,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,2002,19.09,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,2003,18.60,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,2004,21.97,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,2005,18.01,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,2006,18.07,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,2007,18.10,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,2008,17.70,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,2009,17.16,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,2010,18.22,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,2011,18.36,
dataflow,ESTAT:HLTH_CO_INPAGG(1.0),A,PSY,ALOS,NR,AT,2012,18.28,
