STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,AT,2011,,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,BE,2011,18.3,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,BG,2011,,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,CH,2011,7.1,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,CY,2011,,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,CZ,2011,27.6,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,DE,2011,,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,DK,2011,,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,EE,2011,,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,EL,2011,49,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,ES,2011,22.5,
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,FI,2011,14.1,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,FR,2011,20.3,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,HR,2011,,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,HU,2011,55.5,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,IE,2011,40.5,
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,IS,2011,,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,IT,2011,46.2,
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,LT,2011,,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,LU,2011,,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,LV,2011,,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,MT,2011,,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,NL,2011,16.2,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,PL,2011,27.2,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,PT,2011,,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,RO,2011,59.5,
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,SE,2011,10.2,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,SI,2011,,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,SK,2011,,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,TR,2011,49.4,
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,F,UK,2011,29.7,
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,M,AT,2011,,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,M,BE,2011,21.9,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,M,BG,2011,,u
dataflow,ESTAT:HLTH_DE030(1.0),A,PC,PB1040,Y15-24,M,CH,2011,8.6,u
