STRUCTURE,STRUCTURE_ID,freq,unit,isced97,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,AT,2011,210.854,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,BE,2011,223.746,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,BG,2011,95.854,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,CH,2011,157.564,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,CY,2011,14.15,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,CZ,2011,80.267,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,DE,2011,877.214,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,DK,2011,123.036,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,EE,2011,14.864,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,EL,2011,144.956,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,ES,2011,884.664,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,FI,2011,94.379,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,FR,2011,2032.791,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,HR,2011,105.376,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,HU,2011,196.421,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,IE,2011,34.592,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,IS,2011,12.054,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,IT,2011,1047.161,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,LT,2011,21.416,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,LU,2011,14.671,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,LV,2011,19.587,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,MT,2011,8.524,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,NL,2011,380.393,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,PL,2011,469.564,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,PT,2011,577.424,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,RO,2011,393.857,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,SE,2011,160.241,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,SI,2011,45.759,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,SK,2011,55.183,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,TR,2011,4446.888,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,F,UK,2011,1435.997,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,AT,2011,135.208,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,BE,2011,249.621,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,BG,2011,78.427,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,CH,2011,93.514,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,CY,2011,11.91,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,CZ,2011,43.056,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,DE,2011,721.002,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,DK,2011,92.376,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,EE,2011,18.976,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,EL,2011,123.973,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,ES,2011,658.565,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,FI,2011,102.934,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,FR,2011,1382.687,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,HR,2011,62.642,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,HU,2011,118.659,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,IE,2011,43.272,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,IS,2011,8.473,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,IT,2011,880.322,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,LT,2011,24.001,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,LU,2011,10.498,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,LV,2011,28.171,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,MT,2011,7.763,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,NL,2011,285.774,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,PL,2011,428.538,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,PT,2011,450.596,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,RO,2011,217.913,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,SE,2011,121.964,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,SI,2011,34.915,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,SK,2011,38.567,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,TR,2011,2835.463,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,M,UK,2011,1096.274,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,T,AT,2011,346.062,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,T,BE,2011,473.367,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,T,BG,2011,174.281,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,T,CH,2011,251.078,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,T,CY,2011,26.061,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,T,CZ,2011,123.323,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,T,DE,2011,1598.216,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,T,DK,2011,215.412,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,T,EE,2011,33.84,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,T,EL,2011,268.929,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,T,ES,2011,1543.228,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,T,FI,2011,197.313,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,T,FR,2011,3415.479,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,T,HR,2011,168.019,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,T,HU,2011,315.08,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,TOTAL,T,IE,2011,77.864,
