STRUCTURE,STRUCTURE_ID,freq,unit,yes_no,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,AT,2011,637.599,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,BE,2011,468.783,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,BG,2011,278.019,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,CH,2011,461.147,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,CY,2011,28.562,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,CZ,2011,303.331,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,DE,2011,3165.919,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,DK,2011,285.065,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,EE,2011,84.943,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,EL,2011,252.091,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,ES,2011,1281.353,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,FI,2011,368.616,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,FR,2011,4605.563,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,HR,2011,210.547,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,HU,2011,472.892,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,IE,2011,72.704,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,IS,2011,18.163,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,IT,2011,1702.575,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,LT,2011,149.284,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,LU,2011,38.011,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,LV,2011,138.449,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,MT,2011,10.593,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,NL,2011,769.241,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,PL,2011,1852,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,PT,2011,657.921,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,RO,2011,901.617,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,SE,2011,507.228,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,SI,2011,129.861,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,SK,2011,207.664,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,TR,2011,4794.056,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,F,UK,2011,3345.34,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,M,AT,2011,622.1,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,M,BE,2011,444.741,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,TOTAL,M,BG,2011,216.277,
