STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,wstatus,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,AT,2011,370.055,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,BE,2011,179.652,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,BG,2011,83.333,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,CH,2011,337.772,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,CY,2011,12.113,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,CZ,2011,106.016,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,DE,2011,1589.064,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,DK,2011,138.927,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,EE,2011,48.338,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,EL,2011,72.703,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,ES,2011,521.545,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,EU28,2011,10567.449,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,FI,2011,252.513,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,FR,2011,2512.754,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,HR,2011,60.177,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,HU,2011,111.699,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,IE,2011,21.89,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,IS,2011,14.456,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,IT,2011,663.491,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,LT,2011,65.792,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,LU,2011,22.606,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,LV,2011,75.72,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,MT,2011,2.796,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,NL,2011,339.217,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,PL,2011,595.529,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,PT,2011,338.737,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,RO,2011,259.998,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,SE,2011,376.156,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,SI,2011,60.262,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,SK,2011,62.444,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,TR,2011,1307.039,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,F,UK,2011,1623.923,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,AT,2011,430.447,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,BE,2011,212.997,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,BG,2011,68.98,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,CH,2011,300.288,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,CY,2011,12.904,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,CZ,2011,127.092,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,DE,2011,1951.662,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,DK,2011,116.387,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,EE,2011,34.278,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,EL,2011,90.347,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,ES,2011,515.983,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,EU28,2011,10472.484,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,FI,2011,210.191,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,FR,2011,2177.203,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,HR,2011,77.723,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,HU,2011,97.529,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,IE,2011,25.81,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,IS,2011,11.225,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,IT,2011,777.794,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,LT,2011,42.494,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,LU,2011,23.064,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,LV,2011,50.017,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,MT,2011,4.397,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,NL,2011,300.93,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,PL,2011,647.428,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,PT,2011,285.691,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,RO,2011,247.738,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,TOTAL,M,SE,2011,274.705,
