STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,reason,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,AT,2011,18.459,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,BE,2011,8.891,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,BG,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,CH,2011,20.639,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,CY,2011,1.348,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,CZ,2011,4.515,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,DE,2011,86.247,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,DK,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,EL,2011,2.778,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,ES,2011,47.502,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,EU28,2011,704.234,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,FI,2011,8.161,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,FR,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,HR,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,HU,2011,10.901,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,IT,2011,104.3,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,LT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,LU,2011,1.519,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,LV,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,MT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,NL,2011,14.742,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,PL,2011,45.239,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,PT,2011,23.151,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,RO,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,SE,2011,6.568,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,SI,2011,1.207,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,TOTAL,F,SK,2011,6.17,
