STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,worktime,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,AT,2011,218.587,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,BE,2011,79.881,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,BG,2011,79.88,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,CH,2011,124.36,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,CY,2011,9.833,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,CZ,2011,84.21,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,DE,2011,771.066,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,DK,2011,69.462,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,EE,2011,40.307,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,EL,2011,64.058,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,ES,2011,376.156,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,EU28,2011,6485.2,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,FI,2011,200.568,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,FR,2011,1569.734,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,HR,2011,47.613,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,HU,2011,79.916,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,IE,2011,12.141,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,IS,2011,9.022,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,IT,2011,463.762,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,LT,2011,57.084,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,LU,2011,13.219,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,LV,2011,65.572,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,MT,2011,1.656,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,NL,2011,59.328,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,PL,2011,488.635,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,PT,2011,263.223,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,RO,2011,195.481,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,SE,2011,197.689,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,SI,2011,48.554,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,TOTAL,F,SK,2011,52.422,
