STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,frequenc,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,F,BE,2011,16.303,
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,F,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,F,DE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,F,ES,2011,3.087,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,F,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,F,FI,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,F,FR,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,F,IS,2011,1.739,
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,F,IT,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,F,LU,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,F,NL,2011,4.601,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,F,SE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,F,UK,2011,10.498,
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,M,BE,2011,20.72,
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,M,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,M,DE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,M,ES,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,M,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,M,FI,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,M,FR,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,M,IE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,M,IS,2011,1.004,
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,M,IT,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,M,LU,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,M,NL,2011,3.287,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,M,SE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,M,SK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,M,UK,2011,11.727,
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,T,BE,2011,37.024,
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,T,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,T,DE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,T,ES,2011,4.73,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,T,EU28,2011,82.126,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,T,FI,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,T,FR,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,T,IE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,T,IS,2011,2.743,
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,T,IT,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,T,LU,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,T,NL,2011,7.887,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,T,SE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,T,SK,2011,2.731,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,TOTAL,T,UK,2011,22.226,
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,F,BE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,F,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,F,DE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,F,ES,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,F,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,F,FI,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,F,FR,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,F,IT,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,F,LU,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,F,NL,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,F,SE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,F,UK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,M,BE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,M,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,M,DE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,M,ES,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,M,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,M,FI,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,M,FR,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,M,IE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,M,IS,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,M,IT,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,M,LU,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,M,NL,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,M,SE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,M,SK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,M,UK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,T,BE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,T,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,T,DE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,T,ES,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,T,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,T,FI,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,T,FR,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,T,IE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,T,IS,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,T,IT,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,T,LU,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,T,NL,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,T,SE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,T,SK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y15-24,T,UK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,F,BE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,F,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,F,DE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,F,ES,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,F,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,F,FI,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,F,FR,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,F,IT,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,F,LU,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,F,NL,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,F,SE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,F,UK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,M,BE,2011,2.549,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,M,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,M,DE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,M,ES,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,M,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,M,FI,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,M,FR,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,M,IE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,M,IS,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,M,IT,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,M,LU,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,M,NL,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,M,SE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,M,SK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,M,UK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,T,BE,2011,4.487,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,T,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,T,DE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,T,ES,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,T,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,T,FI,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,T,FR,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,T,IE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,T,IS,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,T,IT,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,T,LU,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,T,NL,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,T,SE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y25-34,T,SK,2011,,u
