STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,yes_no,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,AT,2011,263.031,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,BE,2011,139.453,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,BG,2011,66.445,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,CH,2011,234.089,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,CY,2011,8.538,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,CZ,2011,82.893,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,DE,2011,896.726,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,DK,2011,120.337,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,EE,2011,37.603,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,EL,2011,34.449,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,ES,2011,398.432,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,EU28,2011,7379.95,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,FI,2011,194.764,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,FR,2011,2097.199,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,HR,2011,33.973,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,HU,2011,89.123,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,IE,2011,16.029,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,IS,2011,8.818,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,IT,2011,475.376,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,LT,2011,51.787,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,LU,2011,16.14,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,LV,2011,67.42,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,MT,2011,1.958,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,NL,2011,257.51,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,PL,2011,340.768,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,PT,2011,220.793,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,RO,2011,124.373,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,SE,2011,274.43,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,SI,2011,41.316,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,SK,2011,53.568,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,TR,2011,358.827,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,F,UK,2011,975.518,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,AT,2011,241.677,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,BE,2011,135.284,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,BG,2011,50.631,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,CH,2011,161.906,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,CY,2011,7.121,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,CZ,2011,85.182,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,DE,2011,898.509,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,DK,2011,86.908,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,EE,2011,23.739,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,EL,2011,39.609,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,ES,2011,317.61,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,EU28,2011,5874.257,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,FI,2011,130.683,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,FR,2011,1400.495,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,HR,2011,45.888,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,HU,2011,69.273,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,IE,2011,12.998,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,IS,2011,4.704,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,IT,2011,436.09,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,LT,2011,33.099,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,LU,2011,12.224,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,LV,2011,42.024,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,MT,2011,1.97,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,NL,2011,185.975,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,PL,2011,356.776,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,PT,2011,155.608,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,RO,2011,118.877,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,SE,2011,157.72,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,SI,2011,39.823,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,SK,2011,48.068,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,TR,2011,1134.787,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,M,UK,2011,740.396,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,AT,2011,504.708,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,BE,2011,274.737,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,BG,2011,117.077,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,CH,2011,395.995,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,CY,2011,15.659,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,CZ,2011,168.075,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,DE,2011,1795.234,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,DK,2011,207.245,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,EE,2011,61.342,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,EL,2011,74.058,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,ES,2011,716.042,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,EU28,2011,13254.207,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,FI,2011,325.447,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,FR,2011,3497.694,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,HR,2011,79.861,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,HU,2011,158.396,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,IE,2011,29.027,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,IS,2011,13.522,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,IT,2011,911.466,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,LT,2011,84.885,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,LU,2011,28.363,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,LV,2011,109.444,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,MT,2011,3.928,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,NL,2011,443.485,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,PL,2011,697.544,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,PT,2011,376.402,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,RO,2011,243.249,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,SE,2011,432.15,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,SI,2011,81.139,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,SK,2011,101.636,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,TR,2011,1493.614,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,TOTAL,T,UK,2011,1715.913,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,F,AT,2011,19.887,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,F,BE,2011,3.517,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,F,BG,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,F,CH,2011,35.429,
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,F,CY,2011,,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,F,CZ,2011,1.92,u
dataflow,ESTAT:HLTH_DLM100(1.0),A,THS,PB1040,NO,Y15-24,F,DE,2011,57.267,
