STRUCTURE,STRUCTURE_ID,freq,unit,reason,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,AT,2011,184.402,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,BE,2011,74.926,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,BG,2011,26.334,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,CH,2011,7.37,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,CY,2011,30.64,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,CZ,2011,45.461,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,DE,2011,647.124,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,DK,2011,12.049,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,EE,2011,16.492,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,EL,2011,174.249,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,ES,2011,161.923,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,EU28,2011,5800.218,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,FI,2011,106.7,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,FR,2011,183.997,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,HR,2011,31.832,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,HU,2011,180.575,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,IE,2011,39.205,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,IS,2011,3.038,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,IT,2011,536.251,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,LT,2011,9.823,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,LV,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,MT,2011,2.468,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,NL,2011,100.28,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,PL,2011,409.853,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,PT,2011,33.26,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,RO,2011,436.784,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,SE,2011,10.088,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,SI,2011,12.264,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,SK,2011,43.072,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,TR,2011,190.696,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,F,UK,2011,2287.963,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,AT,2011,85.566,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,BE,2011,14.372,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,BG,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,CH,2011,2.257,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,CY,2011,1.164,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,CZ,2011,6.278,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,DE,2011,56.603,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,DK,2011,5.5,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,EE,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,EL,2011,10.986,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,ES,2011,22.477,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,EU28,2011,974.391,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,FI,2011,29.412,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,FR,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,HR,2011,4.438,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,HU,2011,20.238,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,IE,2011,4.206,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,IS,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,IT,2011,74.388,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,LT,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,LV,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,MT,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,NL,2011,20.651,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,PL,2011,38.057,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,PT,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,RO,2011,82.594,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,SE,2011,5.516,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,SI,2011,2.173,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,SK,2011,4.02,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,TR,2011,9.187,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,M,UK,2011,440.005,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,AT,2011,269.969,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,BE,2011,89.299,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,BG,2011,30.095,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,CH,2011,9.627,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,CY,2011,31.804,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,CZ,2011,51.739,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,DE,2011,703.727,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,DK,2011,17.55,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,EE,2011,17.648,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,EL,2011,185.235,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,ES,2011,184.4,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,EU28,2011,6774.609,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,FI,2011,136.112,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,FR,2011,221.302,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,HR,2011,36.271,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,HU,2011,200.813,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,IE,2011,43.411,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,IS,2011,3.115,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,IT,2011,610.639,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,LT,2011,10.23,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,LV,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,MT,2011,2.642,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,NL,2011,120.93,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,PL,2011,447.91,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,PT,2011,36.203,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,RO,2011,519.378,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,SE,2011,15.604,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,SI,2011,14.437,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,SK,2011,47.093,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,TR,2011,199.883,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,TOTAL,T,UK,2011,2727.968,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,AT,2011,9.274,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,BE,2011,3.92,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,BG,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,CH,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,CY,2011,1.28,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,CZ,2011,2.57,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,DE,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,DK,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,EL,2011,8.831,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,ES,2011,5.38,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,EU28,2011,411.255,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,FI,2011,7.112,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,FR,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,HR,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,HU,2011,9.773,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,IE,2011,3.134,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,IT,2011,14.498,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,LT,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,LV,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,MT,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,NL,2011,1.822,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,PL,2011,36.064,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,PT,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,RO,2011,27.146,
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,SE,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,SI,2011,,u
dataflow,ESTAT:HLTH_DLM140(1.0),A,THS,FAMRESP,Y15-24,F,SK,2011,4.259,u
