STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,CH,2011,24.988,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,DE,2011,2828.447,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,EL,2011,5.694,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,ES,2011,289.543,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,EU28,2011,4726.207,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,FI,2011,5.933,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,FR,2011,1421.83,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,IE,2011,1.58,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,IT,2011,34.902,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,LU,2011,2.235,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,LV,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,NL,2011,17.804,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,PT,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,SE,2011,32.369,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,TOTAL,F,UK,2011,80.208,
