STRUCTURE,STRUCTURE_ID,freq,unit,assist,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,AT,2011,136.331,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,BE,2011,197.136,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,BG,2011,68.416,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,CH,2011,122.372,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,CY,2011,13.11,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,CZ,2011,159.278,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,DE,2011,855.912,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,DK,2011,132.678,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,EE,2011,16.253,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,EL,2011,105.343,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,ES,2011,618.927,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,EU28,2011,6267.533,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,FI,2011,71.629,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,FR,2011,358.929,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,HR,2011,79.871,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,HU,2011,50.378,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,IE,2011,41.806,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,IS,2011,7.176,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,IT,2011,529.44,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,LT,2011,61.971,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,LV,2011,43.725,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,MT,2011,4.648,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,NL,2011,172.207,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,PL,2011,666.443,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,PT,2011,299.692,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,RO,2011,515.216,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,SE,2011,92.657,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,SI,2011,60.643,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,SK,2011,117.338,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,TR,2011,1879.731,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,F,UK,2011,797.557,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,AT,2011,108.435,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,BE,2011,171.564,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,BG,2011,64.62,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,CH,2011,64.972,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,CY,2011,11.174,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,CZ,2011,139.133,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,DE,2011,802.64,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,DK,2011,85.518,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,EE,2011,14.322,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,EL,2011,89.71,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,ES,2011,374.872,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,EU28,2011,4965.398,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,FI,2011,55.167,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,TOTAL,M,FR,2011,253.903,
