STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,AT,2012,53.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,BE,2012,95.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,BG,2012,26.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,CY,2012,3.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,CZ,2012,44.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,DE,2012,680.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,DK,2012,69.9,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,EE,2012,6.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,EEA,2012,3201.5,e
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,EL,2012,35.8,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,ES,2012,201.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,EU27_2007,2012,3129.2,e
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,FI,2012,45.8,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,FR,2012,255.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,HU,2012,56.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,IS,2012,3.9,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,IT,2012,197.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,LT,2012,14.7,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,LU,2012,4.4,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,LV,2012,11.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-29,F,MT,2012,1.3,
