STRUCTURE,STRUCTURE_ID,freq,unit,isced97,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,AT,2012,22.6,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,BE,2012,100.0,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,BG,2012,29.6,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,CY,2012,3.4,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,CZ,2012,37.5,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,DE,2012,414.9,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,DK,2012,77.8,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,EE,2012,3.0,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,EEA,2012,2642.5,e
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,EL,2012,29.3,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,ES,2012,412.6,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,EU27_2007,2012,2592.8,e
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,FI,2012,30.2,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,FR,2012,348.4,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,HU,2012,56.1,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,IS,2012,3.4,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,IT,2012,307.1,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,LT,2012,13.5,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,LU,2012,2.8,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,LV,2012,8.3,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,MT,2012,2.4,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,NL,2012,147.2,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,NO,2012,46.3,
dataflow,ESTAT:HLTH_DPEH020(1.0),A,THS,ED0-2,PB0000,Y15-44,F,PL,2012,175.5,
