STRUCTURE,STRUCTURE_ID,freq,unit,hhcomp,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,AT,2012,10.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,BE,2012,8.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,BG,2012,10.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,CY,2012,1.2,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,CZ,2012,9.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,DE,2012,263.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,DK,2012,23.2,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,EE,2012,2.4,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,EEA,2012,1168.1,e
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,EL,2012,10.0,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,ES,2012,46.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,EU27_2007,2012,1138.9,e
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,FI,2012,17.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,FR,2012,297.0,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,HU,2012,4.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,IS,2012,0.4,u
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,IT,2012,136.0,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,LT,2012,2.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,LU,2012,0.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,LV,2012,1.0,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,MT,2012,0.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,NL,2012,70.1,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,NO,2012,28.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,PL,2012,17.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,PT,2012,14.4,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,RO,2012,0,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,SE,2012,17.2,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,SI,2012,2.0,u
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,SK,2012,2.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,F,UK,2012,168.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,AT,2012,12.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,BE,2012,12.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,BG,2012,2.1,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,CY,2012,2.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,CZ,2012,14.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,DE,2012,291.0,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,DK,2012,12.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,EE,2012,3.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,EEA,2012,1011.9,e
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,EL,2012,10.4,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,ES,2012,38.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,EU27_2007,2012,992.2,e
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,FI,2012,13.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,FR,2012,238.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,HU,2012,1.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,IS,2012,0.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,IT,2012,141.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,LT,2012,1.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,LU,2012,0.4,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,LV,2012,3.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,MT,2012,0.2,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,NL,2012,37.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,NO,2012,18.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,PL,2012,5.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,PT,2012,2.4,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,RO,2012,23.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,SE,2012,20.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,SI,2012,5.0,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,SK,2012,10.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,M,UK,2012,84.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,AT,2012,23.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,BE,2012,20.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,BG,2012,12.4,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,CY,2012,3.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,CZ,2012,23.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,DE,2012,554.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,DK,2012,36.0,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,EE,2012,6.0,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,EEA,2012,2180.0,e
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,EL,2012,20.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,ES,2012,85.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,EU27_2007,2012,2131.1,e
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,FI,2012,31.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,FR,2012,535.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,HU,2012,6.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,IS,2012,1.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,IT,2012,277.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,LT,2012,4.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,LU,2012,1.0,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,LV,2012,4.3,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,MT,2012,0.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,NL,2012,107.5,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,NO,2012,47.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,PL,2012,23.2,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,PT,2012,16.8,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,RO,2012,23.9,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,SE,2012,37.7,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,SI,2012,7.0,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,SK,2012,13.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y15-44,T,UK,2012,252.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,AT,2012,46.4,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,BE,2012,130.6,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,BG,2012,97.1,
dataflow,ESTAT:HLTH_DPEH040(1.0),A,THS,CPL_NYCH,PB0000,Y45-64,F,CY,2012,9.6,
