STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,yes_no,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,AT,2012,850.4,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,BE,2012,1143.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,BG,2012,327.4,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,CY,2012,52.3,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,CZ,2012,471.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,DE,2012,7397.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,DK,2012,537.5,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,EE,2012,148.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,EEA,2012,38271.7,e
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,EL,2012,418.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,ES,2012,4843.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,EU27_2007,2012,37801.5,e
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,FI,2012,531.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,FR,2012,6023.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,HU,2012,514.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,IS,2012,37.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,IT,2012,2330.5,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,LT,2012,269.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,LU,2012,55.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,LV,2012,164.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,MT,2012,21.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,NL,2012,1564.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,NO,2012,432.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,PL,2012,2226.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,PT,2012,826.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,RO,2012,315.3,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,SE,2012,946.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,SI,2012,138.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,SK,2012,448.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,F,UK,2012,5236.3,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,AT,2012,619.4,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,BE,2012,926.4,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,BG,2012,292.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,CY,2012,29.3,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,CZ,2012,434.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,DE,2012,6828.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,DK,2012,502.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,EE,2012,132.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,EEA,2012,34107.2,e
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,EL,2012,278.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,ES,2012,4271.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,EU27_2007,2012,33579.3,e
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,FI,2012,496.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,FR,2012,4863.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,HU,2012,487.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,IS,2012,43.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,IT,2012,2120.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,LT,2012,202.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,LU,2012,49.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,LV,2012,139.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,MT,2012,23.4,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,NL,2012,1269.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,NO,2012,484.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,PL,2012,1824.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,PT,2012,699.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,RO,2012,266.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,SE,2012,951.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,SI,2012,148.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,SK,2012,635.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,M,UK,2012,5085.0,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,AT,2012,1469.8,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,BE,2012,2069.4,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,BG,2012,620.2,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,CY,2012,81.6,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,CZ,2012,905.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,DE,2012,14226.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,DK,2012,1040.1,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,EE,2012,280.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,EEA,2012,72378.9,e
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,EL,2012,697.7,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,ES,2012,9114.9,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,EU27_2007,2012,71380.8,e
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,FI,2012,1028.5,
dataflow,ESTAT:HLTH_DPEH050(1.0),A,THS,PB1000,NO_OD,Y15-44,T,FR,2012,10887.1,
