STRUCTURE,STRUCTURE_ID,freq,unit,assist,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,AT,2012,30.8,
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,BE,2012,99.9,
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,BG,2012,10.3,
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,CY,2012,2.2,u
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,CZ,2012,11.7,
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,DE,2012,399.2,
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,DK,2012,36.9,
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,EE,2012,3.6,
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,EEA,2012,2806.0,e
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,EL,2012,9.2,
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,ES,2012,318.5,
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,EU27_2007,2012,2739.7,e
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,FI,2012,11.9,
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,FR,2012,357.1,
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,HU,2012,28.4,
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,IS,2012,1.8,
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,IT,2012,181.9,
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,LT,2012,13.5,
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,LU,2012,3.7,
dataflow,ESTAT:HLTH_DPEH130(1.0),A,THS,AS1015,Y15-44,F,LV,2012,5.1,
