STRUCTURE,STRUCTURE_ID,freq,unit,assist,wstatus,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,AT,2012,23.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,BE,2012,56.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,BG,2012,10.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,CY,2012,0.3,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,CZ,2012,11.0,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,DE,2012,324.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,DK,2012,21.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,EE,2012,4.7,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,EEA,2012,1752.8,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,EL,2012,10.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,ES,2012,192.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,EU27_2007,2012,1704.3,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,FI,2012,12.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,FR,2012,255.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,HU,2012,13.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,IS,2012,1.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,IT,2012,64.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,LT,2012,8.6,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,LU,2012,2.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,LV,2012,2.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,MT,2012,0.4,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,NL,2012,89.6,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,NO,2012,47.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,PL,2012,66.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,PT,2012,15.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,RO,2012,43.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,SE,2012,40.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,SI,2012,4.7,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,SK,2012,9.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,F,UK,2012,420.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,AT,2012,33.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,BE,2012,33.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,BG,2012,5.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,CY,2012,3.0,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,CZ,2012,8.5,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,DE,2012,362.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,DK,2012,22.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,EE,2012,4.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,EEA,2012,1659.2,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,EL,2012,19.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,ES,2012,106.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,EU27_2007,2012,1629.9,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,FI,2012,7.7,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,FR,2012,245.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,HU,2012,13.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,IS,2012,0.8,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,IT,2012,75.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,LT,2012,5.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,LU,2012,4.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,LV,2012,3.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,MT,2012,1.2,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,NL,2012,73.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,NO,2012,28.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,PL,2012,37.0,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,PT,2012,5.8,u
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,RO,2012,24.7,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,SE,2012,30.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,SI,2012,3.6,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,SK,2012,19.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,M,UK,2012,483.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,AT,2012,56.2,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,BE,2012,89.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,BG,2012,15.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,CY,2012,3.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,CZ,2012,19.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,DE,2012,686.6,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,DK,2012,43.7,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,EE,2012,9.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,EEA,2012,3412.0,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,EL,2012,29.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,ES,2012,298.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,EU27_2007,2012,3334.2,e
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,FI,2012,20.5,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,FR,2012,500.3,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,HU,2012,26.4,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,IS,2012,1.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,IT,2012,139.7,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,LT,2012,13.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,LU,2012,7.1,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,LV,2012,5.6,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,MT,2012,1.6,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,NL,2012,162.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,NO,2012,75.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,PL,2012,103.9,
dataflow,ESTAT:HLTH_DPEH135(1.0),A,THS,AS1015,EMP,T,PT,2012,21.1,
