STRUCTURE,STRUCTURE_ID,freq,unit,isced97,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,AT,2012,65.1,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,BE,2012,173.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,BG,2012,146.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,CY,2012,14.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,CZ,2012,86.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,DE,2012,741.1,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,DK,2012,79.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,EE,2012,20.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,EEA,2012,9891.8,e
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,EL,2012,389.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,ES,2012,1810.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,EU27_2007,2012,9845.7,e
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,FI,2012,36.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,FR,2012,1180.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,HU,2012,167.2,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,IS,2012,3.1,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,IT,2012,2356.2,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,LT,2012,75.1,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,LU,2012,7.1,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,LV,2012,24.4,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,MT,2012,7.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,NL,2012,188.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,NO,2012,43.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1015,F,PL,2012,700.7,
