STRUCTURE,STRUCTURE_ID,freq,unit,quantile,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,AT,2012,37.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,BE,2012,82.8,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,BG,2012,154.0,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,CY,2012,4.5,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,CZ,2012,83.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,DE,2012,1072.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,DK,2012,66.0,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,EE,2012,35.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,EEA,2012,6369.8,e
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,EL,2012,136.6,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,ES,2012,820.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,EU27_2007,2012,6304.3,e
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,FI,2012,41.0,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,FR,2012,651.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,HU,2012,135.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,IS,2012,1.8,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,IT,2012,570.5,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,LT,2012,46.6,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,LU,2012,5.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,LV,2012,24.8,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,MT,2012,4.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,AS1015,F,NL,2012,158.5,
