STRUCTURE,STRUCTURE_ID,freq,unit,hhcomp,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,AT,2012,29.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,BE,2012,109.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,BG,2012,50.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,CY,2012,8.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,CZ,2012,101.7,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,DE,2012,637.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,DK,2012,36.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,EE,2012,11.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,EEA,2012,4226.9,e
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,EL,2012,111.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,ES,2012,444.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,EU27_2007,2012,4190.5,e
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,FI,2012,10.6,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,FR,2012,594.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,HU,2012,59.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,IS,2012,2.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,IT,2012,910.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,LT,2012,24.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,LU,2012,1.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,LV,2012,7.6,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,MT,2012,1.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,NL,2012,88.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,NO,2012,34.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,PL,2012,217.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,PT,2012,97.6,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,RO,2012,42.4,u
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,SE,2012,46.6,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,SI,2012,10.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,SK,2012,39.6,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,F,UK,2012,497.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,AT,2012,17.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,BE,2012,59.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,BG,2012,61.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,CY,2012,6.7,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,CZ,2012,78.6,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,DE,2012,478.7,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,DK,2012,24.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,EE,2012,10.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,EEA,2012,3412.2,e
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,EL,2012,88.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,ES,2012,365.6,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,EU27_2007,2012,3393.3,e
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1015,M,FI,2012,10.6,
