STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,AT,2012,140.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,BE,2012,349.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,BG,2012,245.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,CY,2012,17.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,CZ,2012,224.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,DE,2012,2151.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,DK,2012,125.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,EE,2012,60.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,EEA,2012,15816.8,e
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,EL,2012,430.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,ES,2012,2025.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,EU27_2007,2012,15702.4,e
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,FI,2012,66.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,FR,2012,1737.6,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,HU,2012,251.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,IS,2012,5.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,IT,2012,2474.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,LT,2012,157.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,LU,2012,11.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,LV,2012,48.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,MT,2012,8.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,NL,2012,354.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,NO,2012,109.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,PL,2012,995.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,PT,2012,321.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,RO,2012,644.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,SE,2012,174.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,SI,2012,47.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,SK,2012,114.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,F,UK,2012,2525.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,AT,2012,87.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,BE,2012,172.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,BG,2012,164.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,CY,2012,13.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,CZ,2012,147.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,DE,2012,1219.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,DK,2012,84.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,EE,2012,26.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,EEA,2012,9549.1,e
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,EL,2012,232.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,ES,2012,1046.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,EU27_2007,2012,9488.1,e
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,FI,2012,34.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,FR,2012,1186.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,HU,2012,103.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,IS,2012,1.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,IT,2012,1314.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,LT,2012,64.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,LU,2012,7.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,LV,2012,21.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,MT,2012,5.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,NL,2012,190.6,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,NO,2012,59.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,PL,2012,568.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,PT,2012,200.6,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,RO,2012,415.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,SE,2012,102.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,SI,2012,20.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,SK,2012,69.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,M,UK,2012,1986.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,AT,2012,227.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,BE,2012,522.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,BG,2012,409.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,CY,2012,31.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,CZ,2012,371.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,DE,2012,3371.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,DK,2012,209.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,EE,2012,86.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,EEA,2012,25365.8,e
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,EL,2012,663.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,ES,2012,3072.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,EU27_2007,2012,25190.5,e
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,FI,2012,101.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,FR,2012,2924.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,HU,2012,354.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,IS,2012,7.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,IT,2012,3788.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,LT,2012,221.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,LU,2012,18.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,LV,2012,69.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,MT,2012,14.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,NL,2012,544.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,NO,2012,168.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,PL,2012,1564.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,PT,2012,521.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,RO,2012,1060.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,SE,2012,277.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,SI,2012,68.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,SK,2012,183.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1015,T,UK,2012,4511.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,AT,2012,410.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,BE,2012,385.6,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,BG,2012,386.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,CY,2012,24.6,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,CZ,2012,447.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,DE,2012,4246.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,DK,2012,294.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,EE,2012,63.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,EEA,2012,20339.9,e
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,EL,2012,396.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,ES,2012,1524.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,EU27_2007,2012,20080.9,e
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,FI,2012,219.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,FR,2012,1722.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,HU,2012,765.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,IS,2012,15.6,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,IT,2012,1642.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,LT,2012,168.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,LU,2012,20.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,LV,2012,159.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,MT,2012,9.6,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,NL,2012,741.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,NO,2012,243.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,PL,2012,1999.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,PT,2012,325.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,RO,2012,769.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,SE,2012,377.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,SI,2012,114.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,SK,2012,300.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,F,UK,2012,2566.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,AT,2012,329.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,BE,2012,265.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,BG,2012,262.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,CY,2012,17.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,CZ,2012,277.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,DE,2012,3754.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,DK,2012,201.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,EE,2012,35.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,EEA,2012,14350.2,e
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,M,EL,2012,262.9,
