STRUCTURE,STRUCTURE_ID,freq,unit,lev_limit,acl00,frequenc,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,AT,2006,24.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,BE,2006,24.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,BG,2006,22.3,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,CY,2006,25.3,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,CZ,2006,34.8,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,DE,2006,35.3,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,DK,2006,32.5,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,EE,2006,37.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,EL,2006,32.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,ES,2006,22.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,EU27_2007,2006,30.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,FI,2006,35.1,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,FR,2006,20.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,HU,2006,25.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,IE,2006,24.4,u
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,IS,2006,22.1,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,IT,2006,29.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,LT,2006,42.1,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,LU,2006,14.5,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,LV,2006,32.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,MT,2006,27.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,NL,2006,33.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,NO,2006,27.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,PL,2006,43.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,PT,2006,30.8,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,SE,2006,41.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,SI,2006,32.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,SK,2006,40.3,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,TR,2006,19.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,F,UK,2006,26.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,AT,2006,20.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,BE,2006,20.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,BG,2006,23.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,CY,2006,29.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,CZ,2006,34.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,DE,2006,37.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,DK,2006,30.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,EE,2006,32.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,EL,2006,31.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,ES,2006,24.8,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,EU27_2007,2006,30.9,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,FI,2006,38.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,FR,2006,22.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,HU,2006,26.1,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,IE,2006,20.9,u
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,IS,2006,18.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,IT,2006,30.9,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,LT,2006,36.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,LU,2006,16.8,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,LV,2006,30.3,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,MT,2006,23.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,NL,2006,29.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,NO,2006,27.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,PL,2006,43.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,PT,2006,30.9,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,SE,2006,40.9,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,SI,2006,29.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,SK,2006,40.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,TR,2006,25.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,M,UK,2006,26.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,AT,2006,22.5,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,BE,2006,22.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,BG,2006,22.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,CY,2006,27.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,CZ,2006,34.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,DE,2006,36.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,DK,2006,31.3,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,EE,2006,35.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,EL,2006,31.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,ES,2006,23.5,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,EU27_2007,2006,30.5,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,FI,2006,36.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,FR,2006,21.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,HU,2006,25.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,IE,2006,22.5,u
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,IS,2006,20.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,IT,2006,30.3,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,LT,2006,39.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,LU,2006,15.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,LV,2006,31.3,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,MT,2006,25.3,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,NL,2006,31.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,NO,2006,27.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,PL,2006,43.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,PT,2006,30.8,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,SE,2006,41.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,SI,2006,31.1,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,SK,2006,40.3,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,TR,2006,21.9,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-24,T,UK,2006,26.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,AT,2006,25.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,BE,2006,28.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,BG,2006,21.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,CY,2006,26.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,CZ,2006,35.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,DE,2006,37.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,DK,2006,33.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,EE,2006,33.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,EL,2006,30.5,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,ES,2006,23.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,EU27_2007,2006,31.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,FI,2006,36.1,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,FR,2006,25.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,HU,2006,25.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,IE,2006,25.0,u
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,IS,2006,26.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,IT,2006,30.1,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,LT,2006,40.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,LU,2006,18.1,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,LV,2006,32.1,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,MT,2006,26.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,NL,2006,35.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,NO,2006,28.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,PL,2006,40.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,PT,2006,29.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,SE,2006,43.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,SI,2006,32.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,SK,2006,36.8,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,TR,2006,17.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,F,UK,2006,29.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,AT,2006,21.5,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,BE,2006,24.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,BG,2006,22.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,CY,2006,27.8,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-29,M,CZ,2006,35.5,
