STRUCTURE,STRUCTURE_ID,freq,unit,barrier,wstatus,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,AT,2012,100.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,BE,2012,179.1,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,BG,2012,75.2,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,CY,2012,5.2,u
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,CZ,2012,42.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,DE,2012,1281.5,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,DK,2012,61.5,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,EE,2012,17.2,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,EEA,2012,4568.6,e
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,EL,2012,67.6,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,ES,2012,218.2,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,EU27_2007,2012,4485.0,e
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,FI,2012,57.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,FR,2012,436.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,HU,2012,106.0,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,IS,2012,5.0,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,IT,2012,227.0,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,LT,2012,30.5,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,LU,2012,6.1,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,EMP,F,LV,2012,27.2,
