STRUCTURE,STRUCTURE_ID,freq,unit,barrier,hlth_pb,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,AT,2012,272.9,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,BE,2012,362.8,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,BG,2012,314.3,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,CY,2012,19.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,CZ,2012,209.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,DE,2012,2743.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,DK,2012,165.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,EE,2012,57.5,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,EEA,2012,13409.9,e
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,EL,2012,290.8,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,ES,2012,1138.6,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,EU27_2007,2012,13261.6,e
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,FI,2012,147.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,FR,2012,1289.3,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,HU,2012,304.5,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,IS,2012,10.3,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,IT,2012,1137.3,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,LT,2012,119.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,LU,2012,13.6,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,LV,2012,95.5,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,MT,2012,11.0,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,NL,2012,489.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,NO,2012,138.0,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,PL,2012,1197.5,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,PT,2012,275.0,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,RO,2012,417.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,SE,2012,315.8,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,SI,2012,55.3,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,SK,2012,215.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,F,UK,2012,1602.0,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,AT,2012,233.1,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,BE,2012,259.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,BG,2012,229.6,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,CY,2012,14.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,CZ,2012,137.5,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,DE,2012,2630.1,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,DK,2012,139.5,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,EE,2012,29.8,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,EEA,2012,10575.5,e
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,EL,2012,219.9,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,ES,2012,837.8,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,EU27_2007,2012,10465.2,e
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,FI,2012,173.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,FR,2012,1068.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,HU,2012,253.5,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,IS,2012,8.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,IT,2012,831.0,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,LT,2012,78.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,LU,2012,14.9,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,LV,2012,49.0,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,MT,2012,8.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,NL,2012,411.0,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,NO,2012,102.1,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,PL,2012,657.1,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,PT,2012,197.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,RO,2012,342.8,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,SE,2012,238.1,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,SI,2012,53.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,SK,2012,111.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,M,UK,2012,1245.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,AT,2012,505.9,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,BE,2012,622.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,BG,2012,543.9,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,CY,2012,34.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,CZ,2012,347.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,DE,2012,5373.9,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,DK,2012,305.2,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,EE,2012,87.3,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,EEA,2012,23985.4,e
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,EL,2012,510.7,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,ES,2012,1976.4,
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,EU27_2007,2012,23726.8,e
dataflow,ESTAT:HLTH_DSI050(1.0),A,THS,PTP_LD1,PB1000,T,FI,2012,320.8,
