STRUCTURE,STRUCTURE_ID,freq,unit,barrier,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,AT,2012,19.7,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,BE,2012,87.7,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,BG,2012,11.7,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,CY,2012,,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,CZ,2012,21.1,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,DE,2012,335.3,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,DK,2012,45.5,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,EE,2012,,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,EEA,2012,2198.1,e
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,EL,2012,9.5,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,ES,2012,159.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,EU27_2007,2012,2148.1,e
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,FI,2012,18.6,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,FR,2012,196.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,HU,2012,50.7,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,IS,2012,,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,IT,2012,115.3,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,LT,2012,9.4,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,LU,2012,1.5,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,LV,2012,2.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,MT,2012,,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,NL,2012,114.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,NO,2012,48.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,PL,2012,107.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,PT,2012,,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,RO,2012,33.6,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,SE,2012,47.0,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,SI,2012,8.1,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,SK,2012,9.6,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,F,UK,2012,720.0,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,AT,2012,21.8,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,BE,2012,54.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,BG,2012,11.9,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,CY,2012,,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,CZ,2012,5.1,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,DE,2012,398.7,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,DK,2012,32.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,EE,2012,,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,EEA,2012,2054.9,e
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,EL,2012,17.6,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,ES,2012,124.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,EU27_2007,2012,2019.7,e
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,FI,2012,11.9,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,FR,2012,175.6,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,HU,2012,38.3,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,IS,2012,,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,IT,2012,82.0,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,LT,2012,8.1,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,LU,2012,1.8,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,LV,2012,2.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,MT,2012,,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,NL,2012,51.0,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,NO,2012,34.6,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,PL,2012,132.3,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,PT,2012,,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,RO,2012,56.2,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,SE,2012,26.2,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,SI,2012,9.1,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,SK,2012,19.5,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,M,UK,2012,729.5,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,AT,2012,41.5,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,BE,2012,142.5,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,BG,2012,23.6,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,CY,2012,,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,CZ,2012,26.2,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,DE,2012,734.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,DK,2012,77.6,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,EE,2012,,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,EEA,2012,4252.9,e
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,EL,2012,27.1,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,ES,2012,284.7,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,EU27_2007,2012,4167.8,e
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,FI,2012,30.4,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,FR,2012,371.7,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,HU,2012,89.0,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,IS,2012,,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,IT,2012,197.3,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,LT,2012,17.5,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,LU,2012,3.3,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,LV,2012,5.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,MT,2012,,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,NL,2012,165.3,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,NO,2012,83.5,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,PL,2012,240.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,PT,2012,,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,RO,2012,89.8,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,SE,2012,73.3,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,SI,2012,17.2,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,SK,2012,29.1,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y15-44,T,UK,2012,1449.5,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,AT,2012,42.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,BE,2012,116.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,BG,2012,63.3,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,CY,2012,3.2,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,CZ,2012,66.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,DE,2012,776.7,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,DK,2012,59.0,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,EE,2012,10.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,EEA,2012,4436.9,e
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,EL,2012,68.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,ES,2012,304.0,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,EU27_2007,2012,4390.0,e
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,FI,2012,40.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,FR,2012,439.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,HU,2012,163.7,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,IS,2012,1.6,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,IT,2012,229.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,LT,2012,29.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,LU,2012,3.6,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,LV,2012,9.4,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,MT,2012,2.6,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,NL,2012,145.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,NO,2012,45.3,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,PL,2012,360.4,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,PT,2012,61.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,RO,2012,254.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,SE,2012,44.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,SI,2012,16.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,SK,2012,58.7,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,F,UK,2012,1019.5,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,AT,2012,57.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,BE,2012,55.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,BG,2012,55.5,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,CY,2012,3.4,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,CZ,2012,38.0,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,DE,2012,840.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,DK,2012,52.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,EE,2012,11.0,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,EEA,2012,3624.3,e
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,EL,2012,52.0,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,ES,2012,246.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,EU27_2007,2012,3592.4,e
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,FI,2012,26.6,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,FR,2012,265.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,HU,2012,119.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,IS,2012,0.3,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,IT,2012,115.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,LT,2012,15.4,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,LU,2012,3.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,LV,2012,7.7,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,MT,2012,2.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,NL,2012,86.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,NO,2012,31.6,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,PL,2012,293.5,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,PT,2012,53.4,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,RO,2012,214.5,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,SE,2012,28.0,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,SI,2012,17.6,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,SK,2012,47.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,UK,2012,881.3,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,AT,2012,100.0,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,BE,2012,171.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,BG,2012,118.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,CY,2012,6.7,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,CZ,2012,104.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,DE,2012,1617.6,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,DK,2012,111.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,EE,2012,21.9,
