STRUCTURE,STRUCTURE_ID,freq,unit,barrier,isced97,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,AT,2012,94.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,BE,2012,143.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,BG,2012,161.6,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,CY,2012,16.1,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,CZ,2012,126.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,DE,2012,861.9,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,DK,2012,104.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,EE,2012,14.9,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,EEA,2012,9620.4,e
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,EL,2012,395.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,ES,2012,1276.0,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,EU27_2007,2012,9579.8,e
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,FI,2012,75.9,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,FR,2012,857.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,HU,2012,390.5,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,IS,2012,2.8,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,IT,2012,1971.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,LT,2012,69.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,LU,2012,5.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,LV,2012,34.0,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,MT,2012,7.0,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,NL,2012,191.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,NO,2012,37.8,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,PL,2012,1134.1,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,PT,2012,244.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,RO,2012,653.6,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,SE,2012,39.6,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,SI,2012,61.9,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,SK,2012,50.0,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,F,UK,2012,598.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,AT,2012,61.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,BE,2012,80.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,BG,2012,78.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,CY,2012,10.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,CZ,2012,31.6,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,DE,2012,293.4,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,DK,2012,69.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,EE,2012,4.6,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,EEA,2012,4892.8,e
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,EL,2012,168.5,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,ES,2012,601.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,EU27_2007,2012,4875.5,e
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,FI,2012,36.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,FR,2012,532.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,HU,2012,111.1,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,IS,2012,0.4,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,IT,2012,923.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,LT,2012,26.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,LU,2012,3.0,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,LV,2012,10.9,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,MT,2012,5.0,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,NL,2012,124.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,NO,2012,16.8,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,PL,2012,438.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,PT,2012,171.4,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,RO,2012,375.0,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,SE,2012,32.3,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,SI,2012,20.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,SK,2012,21.6,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,M,UK,2012,642.6,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,AT,2012,156.1,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,BE,2012,223.4,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,BG,2012,240.4,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED0-2,T,CY,2012,26.3,
