STRUCTURE,STRUCTURE_ID,freq,unit,barrier,quantile,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,AT,2012,47.9,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,BE,2012,72.3,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,BG,2012,178.8,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,CY,2012,6.0,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,CZ,2012,85.7,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,DE,2012,1357.4,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,DK,2012,86.3,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,EE,2012,24.8,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,EEA,2012,6498.8,e
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,EL,2012,143.2,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,ES,2012,525.8,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,EU27_2007,2012,6440.7,e
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,FI,2012,64.8,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,FR,2012,479.4,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,HU,2012,282.4,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,IS,2012,1.8,u
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,IT,2012,439.8,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,LT,2012,38.8,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,LU,2012,3.3,u
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,LV,2012,28.7,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,MT,2012,3.8,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,NL,2012,146.4,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,NO,2012,56.3,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,PL,2012,353.1,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,PT,2012,27.8,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,RO,2012,706.1,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,SE,2012,49.6,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,SI,2012,39.9,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,SK,2012,69.6,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,F,UK,2012,1179.0,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,AT,2012,48.6,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,BE,2012,48.8,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,BG,2012,65.0,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,CY,2012,2.7,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,CZ,2012,31.9,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,DE,2012,728.9,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,DK,2012,53.5,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,EE,2012,6.0,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,EEA,2012,3838.1,e
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,EL,2012,41.4,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,ES,2012,217.6,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,EU27_2007,2012,3804.9,e
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,FI,2012,29.2,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,FR,2012,221.8,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,HU,2012,108.0,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,IS,2012,0.6,u
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,IT,2012,240.1,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,LT,2012,12.6,
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,LU,2012,2.2,u
dataflow,ESTAT:HLTH_DSI110(1.0),A,THS,ACS_BLD,QU1,M,LV,2012,6.6,
