STRUCTURE,STRUCTURE_ID,freq,unit,barrier,hhcomp,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,AT,2012,32.2,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,BE,2012,94.1,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,BG,2012,59.4,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,CY,2012,8.2,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,CZ,2012,134.9,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,DE,2012,798.6,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,DK,2012,53.9,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,EE,2012,9.2,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,EEA,2012,4126.9,e
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,EL,2012,105.4,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,ES,2012,305.5,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,EU27_2007,2012,4082.5,e
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,FI,2012,24.1,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,FR,2012,403.0,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,HU,2012,136.4,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,IS,2012,1.7,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,IT,2012,728.8,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,LT,2012,21.1,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,LU,2012,2.2,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,LV,2012,13.3,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,MT,2012,1.9,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,NL,2012,109.7,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,NO,2012,42.7,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,PL,2012,301.2,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,PT,2012,71.9,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,RO,2012,55.4,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,SE,2012,25.4,u
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,SI,2012,16.8,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,SK,2012,37.2,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,F,UK,2012,532.9,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,M,AT,2012,29.3,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,M,BE,2012,55.0,
dataflow,ESTAT:HLTH_DSI120(1.0),A,THS,ACS_BLD,CPL_NYCH,M,BG,2012,67.1,
