STRUCTURE,STRUCTURE_ID,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,AT,2019,26.2,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,BE,2019,52.0,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,BG,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,CY,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,CZ,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,DE,2019,46.6,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,DK,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,EE,2019,0,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,EL,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,ES,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,EU27_2020,2019,36.9,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,FI,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,FR,2019,44.3,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,HR,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,HU,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,IE,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,IS,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,IT,2019,30.4,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,LT,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,LU,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,LV,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,MT,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,NL,2019,38.6,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,NO,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,PL,2019,28.5,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,PT,2019,12.2,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,RO,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,RS,2019,28.2,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,SE,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,SI,2019,18.7,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,SK,2019,16.6,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y55-64,TR,2019,13.8,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,AT,2014,17.2,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,AT,2019,41.4,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,BE,2014,71.2,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,BE,2019,69.5,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,BG,2014,14.6,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,BG,2019,16.5,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,CY,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,CY,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,CZ,2014,28.4,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,CZ,2019,7.3,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,DE,2014,40.4,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,DE,2019,50.8,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,DK,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,DK,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,EE,2014,22.8,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,EE,2019,7.4,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,EL,2014,29.9,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,EL,2019,40.2,u
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,ES,2014,24.0,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,ES,2019,45.0,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,EU27_2020,2014,36.9,
dataflow,ESTAT:HLTH_EHIS_AM7SA(1.0),A,PC,F,Y65-74,EU27_2020,2019,40.3,
