STRUCTURE,STRUCTURE_ID,freq,unit,age,hhtyp,lev_diff,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,AT,2019,11.4,
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,BE,2019,39.8,
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,BG,2019,12.0,u
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,CY,2019,3.6,u
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,CZ,2019,8.5,
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,DE,2019,19.0,
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,DK,2019,24.3,
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,EE,2019,6.0,u
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,EL,2019,10.0,
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,ES,2019,8.4,
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,EU27_2020,2019,15.6,
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,FI,2019,3.7,
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,FR,2019,20.7,
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,HR,2019,2.3,u
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,HU,2019,8.8,
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,IE,2019,10.6,
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,IT,2019,6.4,
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,LT,2019,1.4,
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,LU,2019,14.9,u
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,LV,2019,5.8,
dataflow,ESTAT:HLTH_EHIS_AM7TH(1.0),A,PC,Y55-64,A1,LTD,MT,2019,21.8,u
