STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,frequenc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,DAY,PC,BE,2008,10.0,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,DAY,PC,BG,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,DAY,PC,CY,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,DAY,PC,CZ,2008,4.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,DAY,PC,EL,2008,4.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,DAY,PC,ES,2008,7.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,DAY,PC,FR,2008,5.5,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,DAY,PC,HU,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,DAY,PC,LV,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,DAY,PC,MT,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,DAY,PC,PL,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,DAY,PC,RO,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,DAY,PC,SI,2008,4.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,DAY,PC,SK,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,MTH,PC,BE,2008,42.9,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,MTH,PC,BG,2008,34.5,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,MTH,PC,CY,2008,36.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,MTH,PC,CZ,2008,54.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,MTH,PC,EL,2008,32.3,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,MTH,PC,ES,2008,28.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,MTH,PC,FR,2008,49.4,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,MTH,PC,HU,2008,25.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,MTH,PC,LV,2008,58.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,MTH,PC,MT,2008,24.6,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,MTH,PC,PL,2008,41.5,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,MTH,PC,RO,2008,48.1,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,MTH,PC,SI,2008,44.6,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,MTH,PC,SK,2008,44.6,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,NVR,PC,BE,2008,32.6,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,NVR,PC,BG,2008,59.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,NVR,PC,CY,2008,59.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,NVR,PC,CZ,2008,36.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,NVR,PC,EL,2008,57.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,NVR,PC,ES,2008,60.1,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,NVR,PC,FR,2008,37.6,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,NVR,PC,HU,2008,68.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,NVR,PC,LV,2008,39.5,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,NVR,PC,MT,2008,67.1,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,NVR,PC,PL,2008,57.5,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,NVR,PC,RO,2008,48.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,NVR,PC,SI,2008,47.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,NVR,PC,SK,2008,52.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,WEEK,PC,BE,2008,14.4,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,WEEK,PC,BG,2008,3.6,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,WEEK,PC,CY,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,WEEK,PC,CZ,2008,5.3,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,WEEK,PC,EL,2008,5.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,WEEK,PC,ES,2008,4.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,WEEK,PC,FR,2008,7.5,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,WEEK,PC,HU,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,WEEK,PC,LV,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,WEEK,PC,MT,2008,5.5,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,WEEK,PC,PL,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,WEEK,PC,RO,2008,3.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,WEEK,PC,SI,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED0-2,WEEK,PC,SK,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,DAY,PC,BE,2008,9.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,DAY,PC,BG,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,DAY,PC,CY,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,DAY,PC,CZ,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,DAY,PC,EL,2008,2.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,DAY,PC,ES,2008,5.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,DAY,PC,FR,2008,4.3,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,DAY,PC,HU,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,DAY,PC,LV,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,DAY,PC,MT,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,DAY,PC,PL,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,DAY,PC,RO,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,DAY,PC,SI,2008,3.3,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,DAY,PC,SK,2008,1.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,MTH,PC,BE,2008,46.1,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,MTH,PC,BG,2008,53.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,MTH,PC,CY,2008,57.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,MTH,PC,CZ,2008,66.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,MTH,PC,EL,2008,50.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,MTH,PC,ES,2008,49.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,MTH,PC,FR,2008,55.9,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,MTH,PC,HU,2008,49.6,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,MTH,PC,LV,2008,77.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,MTH,PC,MT,2008,49.1,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,MTH,PC,PL,2008,69.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,MTH,PC,RO,2008,61.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,MTH,PC,SI,2008,64.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,MTH,PC,SK,2008,71.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,NVR,PC,BE,2008,23.6,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,NVR,PC,BG,2008,36.5,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,NVR,PC,CY,2008,37.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,NVR,PC,CZ,2008,20.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,NVR,PC,EL,2008,34.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,NVR,PC,ES,2008,35.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,NVR,PC,FR,2008,28.6,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,NVR,PC,HU,2008,43.5,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,NVR,PC,LV,2008,20.5,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,NVR,PC,MT,2008,38.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,NVR,PC,PL,2008,28.3,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,NVR,PC,RO,2008,36.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,NVR,PC,SI,2008,26.1,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,NVR,PC,SK,2008,25.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,WEEK,PC,BE,2008,20.5,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,WEEK,PC,BG,2008,7.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,WEEK,PC,CY,2008,3.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,WEEK,PC,CZ,2008,9.4,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,WEEK,PC,EL,2008,11.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,WEEK,PC,ES,2008,9.3,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,WEEK,PC,FR,2008,11.2,u
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,WEEK,PC,HU,2008,5.7,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,WEEK,PC,LV,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,WEEK,PC,MT,2008,10.8,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,WEEK,PC,PL,2008,2.2,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,WEEK,PC,RO,2008,2.0,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,WEEK,PC,SI,2008,5.9,
dataflow,ESTAT:HLTH_EHIS_DE10(1.0),A,F,TOTAL,ED3_4,WEEK,PC,SK,2008,3.0,
