STRUCTURE,STRUCTURE_ID,freq,bmi,sex,age,quantile,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU1,AT,2008,46.2,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU1,BE,2008,50.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU1,BG,2008,41.2,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU1,CY,2008,41.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU1,CZ,2008,33.5,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU1,DE,2008,40.5,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU1,EE,2008,34.4,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU1,EL,2008,43.4,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU1,ES,2008,37.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU1,HU,2008,40.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU1,LV,2008,50.5,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU1,MT,2008,38.9,u
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU1,PL,2008,42.4,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU1,RO,2008,50.5,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU1,SI,2008,36.0,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU1,SK,2008,33.1,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU1,TR,2008,46.9,u
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU2,AT,2008,53.6,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU2,BE,2008,51.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU2,BG,2008,43.9,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU2,CY,2008,49.5,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU2,CZ,2008,41.1,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,TOTAL,QU2,DE,2008,47.9,
