STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED0-2,PC,AT,2008,24.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED0-2,PC,BE,2008,20.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED0-2,PC,BG,2008,27.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED0-2,PC,CY,2008,16.9,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED0-2,PC,CZ,2008,41.4,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED0-2,PC,EL,2008,25.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED0-2,PC,ES,2008,13.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED0-2,PC,HU,2008,30.1,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED0-2,PC,LV,2008,40.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED0-2,PC,MT,2008,26.5,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED0-2,PC,PL,2008,49.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED0-2,PC,RO,2008,16.6,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED0-2,PC,SI,2008,36.3,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED0-2,PC,SK,2008,44.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED0-2,PC,TR,2008,15.2,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED3_4,PC,AT,2008,27.8,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED3_4,PC,BE,2008,27.4,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED3_4,PC,BG,2008,35.1,
dataflow,ESTAT:HLTH_EHIS_HC10(1.0),A,F,TOTAL,ED3_4,PC,CY,2008,20.9,
