STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED0-2,BG,2008,3.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED0-2,CY,2008,28.8,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED0-2,CZ,2008,13.8,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED0-2,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED0-2,EE,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED0-2,EL,2008,42.3,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED0-2,FR,2008,65.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED0-2,HU,2008,28.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED0-2,LV,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED0-2,MT,2008,50.9,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED0-2,PL,2008,7.6,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED0-2,RO,2008,15.7,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED0-2,SI,2008,16.5,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED0-2,SK,2008,26.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED0-2,TR,2008,7.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED3_4,BG,2008,6.6,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED3_4,CY,2008,31.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED3_4,CZ,2008,21.3,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED3_4,DE,2008,49.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED3_4,EE,2008,3.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED3_4,EL,2008,40.5,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED3_4,FR,2008,62.5,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED3_4,HU,2008,29.8,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED3_4,LV,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED3_4,MT,2008,60.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,TOTAL,ED3_4,PL,2008,15.6,
