STRUCTURE,STRUCTURE_ID,freq,isced97,duration,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,NEV,AT,2008,19.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,NEV,BE,2008,20.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,NEV,BG,2008,63.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,NEV,CY,2008,16.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,NEV,CZ,2008,44.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,NEV,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,NEV,EE,2008,68.3,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,NEV,EL,2008,27.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,NEV,ES,2008,24.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,NEV,FR,2008,14.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,NEV,HU,2008,30.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,NEV,LV,2008,12.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,NEV,MT,2008,31.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,NEV,PL,2008,26.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,NEV,RO,2008,92.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,NEV,SI,2008,13.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,NEV,SK,2008,42.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,NEV,TR,2008,85.3,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y1-2,AT,2008,30.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y1-2,BE,2008,14.3,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y1-2,BG,2008,10.6,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y1-2,CY,2008,20.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y1-2,CZ,2008,13.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y1-2,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y1-2,EE,2008,4.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y1-2,EL,2008,15.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y1-2,ES,2008,20.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y1-2,FR,2008,21.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y1-2,HU,2008,14.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y1-2,LV,2008,27.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y1-2,MT,2008,14.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y1-2,PL,2008,18.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y1-2,RO,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y1-2,SI,2008,22.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED0-2,Y1-2,SK,2008,14.5,
