STRUCTURE,STRUCTURE_ID,freq,sex,isced97,duration,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,BE,2008,84,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,BG,2008,89.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,CY,2008,92.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,CZ,2008,76.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,EL,2008,91.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,ES,2008,92.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,FR,2008,72.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,HU,2008,85.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,LV,2008,75.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,MT,2008,95.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,PL,2008,94.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,RO,2008,98.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,SI,2008,90.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,SK,2008,79.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,NEV,TR,2008,96.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,BE,2008,4.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,BG,2008,2.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,CY,2008,2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,CZ,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,EL,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,ES,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,FR,2008,6.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,HU,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,LV,2008,4.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,MT,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,PL,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,RO,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,SI,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,SK,2008,4.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y1-2,TR,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,BE,2008,2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,BG,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,CY,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,CZ,2008,4.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,EL,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,ES,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,FR,2008,3.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,HU,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,LV,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,MT,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,PL,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,RO,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,SI,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,SK,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y2-3,TR,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,BE,2008,3.9,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,BG,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,CY,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,CZ,2008,6.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,EL,2008,4.3,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,ES,2008,4.1,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,FR,2008,4.8,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,HU,2008,7.7,
dataflow,ESTAT:HLTH_EHIS_HC4(1.0),A,F,ED0-2,Y_GT3,LV,2008,12.6,
