STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,n_contact,isco08,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2211,AT,2008,51.9,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2211,BE,2008,52.1,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2211,BG,2008,62.3,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2211,CY,2008,95.2,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2211,CZ,2008,61.9,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2211,DE,2008,51.5,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2211,EE,2008,68.8,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2211,EL,2008,64.5,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2211,ES,2008,60.1,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2211,HU,2008,46.1,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2211,LV,2008,70.3,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2211,MT,2008,64.5,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2211,PL,2008,51.6,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2211,RO,2008,74.4,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2211,SI,2008,63.5,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2211,SK,2008,47.2,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2211,TR,2008,75.5,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2212,BE,2008,83.4,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2212,BG,2008,88.8,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2212,CY,2008,68.7,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2212,CZ,2008,72.4,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2212,DE,2008,77,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2212,EE,2008,82.8,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2212,EL,2008,76.5,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2212,ES,2008,87,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2212,HU,2008,75.6,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2212,LV,2008,85.2,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2212,MT,2008,92.2,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2212,PL,2008,76.6,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2212,RO,2008,94.6,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2212,SI,2008,79.7,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2212,SK,2008,63.8,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2212,TR,2008,71.5,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2261,AT,2008,88.7,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2261,BE,2008,93.3,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2261,BG,2008,93.3,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2261,CY,2008,88,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2261,CZ,2008,79.3,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2261,DE,2008,79.5,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2261,EE,2008,89.8,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2261,EL,2008,100,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2261,ES,2008,92.5,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2261,HU,2008,90.3,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2261,LV,2008,94.1,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2261,MT,2008,93,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2261,PL,2008,90.2,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2261,RO,2008,97.5,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2261,SI,2008,84.4,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2261,SK,2008,82.3,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,0,OC2261,TR,2008,92.4,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2211,AT,2008,34,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2211,BE,2008,36.3,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2211,BG,2008,29.4,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2211,CY,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2211,CZ,2008,30,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2211,DE,2008,33.1,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2211,EE,2008,22.8,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2211,EL,2008,25.1,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2211,ES,2008,29.1,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2211,HU,2008,41.4,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2211,LV,2008,24.9,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2211,MT,2008,23.9,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2211,PL,2008,36.6,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2211,RO,2008,22.6,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2211,SI,2008,23.9,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2211,SK,2008,33.9,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2211,TR,2008,13.6,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2212,BE,2008,12.9,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2212,BG,2008,7.7,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2212,CY,2008,20.3,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2212,CZ,2008,19.5,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2212,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2212,EE,2008,13.1,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2212,EL,2008,15.5,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2212,ES,2008,10.1,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2212,HU,2008,18.4,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2212,LV,2008,10.8,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2212,MT,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2212,PL,2008,18.6,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2212,RO,2008,5,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2212,SI,2008,15.2,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2212,SK,2008,23.3,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2212,TR,2008,15.6,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2261,AT,2008,8.7,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2261,BE,2008,5.9,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2261,BG,2008,4.1,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2261,CY,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2261,CZ,2008,16,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2261,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2261,EE,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2261,ES,2008,4.9,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2261,HU,2008,5.7,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2261,LV,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2261,MT,2008,5.6,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2261,PL,2008,6.5,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2261,RO,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2261,SI,2008,11.3,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2261,SK,2008,12.3,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,1,OC2261,TR,2008,4.6,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,2,OC2211,AT,2008,8,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,2,OC2211,BE,2008,7,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,2,OC2211,BG,2008,6.2,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,2,OC2211,CY,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,2,OC2211,CZ,2008,5,
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,2,OC2211,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC5(1.0),A,F,TOTAL,ED0-2,2,OC2211,EE,2008,4.7,
