STRUCTURE,STRUCTURE_ID,freq,age,isced97,sex,isco08,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2264,PC,AT,2008,10.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2264,PC,BE,2008,19.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2264,PC,BG,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2264,PC,CY,2008,7.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2264,PC,CZ,2008,12.0,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2264,PC,EL,2008,8.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2264,PC,ES,2008,10.6,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2264,PC,FR,2008,21.2,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2264,PC,HU,2008,10.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2264,PC,LV,2008,6.8,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2264,PC,MT,2008,10.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2264,PC,PL,2008,6.7,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2264,PC,RO,2008,2.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2264,PC,SI,2008,15.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2264,PC,SK,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2264,PC,TR,2008,4.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2634,PC,AT,2008,1.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2634,PC,BE,2008,3.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2634,PC,BG,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2634,PC,CY,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2634,PC,CZ,2008,1.0,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2634,PC,EL,2008,3.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2634,PC,ES,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2634,PC,FR,2008,3.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2634,PC,HU,2008,4.6,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2634,PC,LV,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2634,PC,MT,2008,2.9,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2634,PC,PL,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2634,PC,RO,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2634,PC,SI,2008,4.5,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2634,PC,SK,2008,3.7,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,F,OC2634,PC,TR,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2264,PC,AT,2008,5.1,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2264,PC,BE,2008,12.2,
dataflow,ESTAT:HLTH_EHIS_HC6(1.0),A,TOTAL,ED0-2,M,OC2264,PC,BG,2008,1.9,
