STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,icha_hc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,DAY,PC,AT,2008,8.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,DAY,PC,BE,2008,9.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,DAY,PC,BG,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,DAY,PC,CY,2008,9.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,DAY,PC,CZ,2008,5.2,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,DAY,PC,EL,2008,14.7,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,DAY,PC,ES,2008,10.3,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,DAY,PC,HU,2008,9.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,DAY,PC,LV,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,DAY,PC,MT,2008,14.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,DAY,PC,PL,2008,2.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,DAY,PC,RO,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,DAY,PC,SI,2008,6.3,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,DAY,PC,SK,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,IN,PC,AT,2008,22.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,IN,PC,BE,2008,14.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,IN,PC,BG,2008,13.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,IN,PC,CY,2008,11.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,IN,PC,CZ,2008,16.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,IN,PC,EL,2008,12.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,IN,PC,ES,2008,11.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,IN,PC,FR,2008,15.8,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,IN,PC,HU,2008,21.7,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,IN,PC,LV,2008,17.3,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,IN,PC,MT,2008,12.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,IN,PC,PL,2008,15.3,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,IN,PC,RO,2008,8.7,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,IN,PC,SI,2008,12.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED0-2,IN,PC,SK,2008,18.7,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,DAY,PC,AT,2008,7.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,DAY,PC,BE,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,DAY,PC,BG,2008,3.3,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,DAY,PC,CY,2008,7.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,DAY,PC,CZ,2008,5.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,DAY,PC,EL,2008,10.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,DAY,PC,ES,2008,8.2,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,DAY,PC,HU,2008,8.8,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,DAY,PC,LV,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,DAY,PC,MT,2008,10.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,DAY,PC,PL,2008,3.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,DAY,PC,RO,2008,0.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,DAY,PC,SI,2008,4.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,DAY,PC,SK,2008,2.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,IN,PC,AT,2008,17.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,IN,PC,BE,2008,12.8,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,IN,PC,BG,2008,8.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,IN,PC,CY,2008,7.2,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,IN,PC,CZ,2008,11.2,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,IN,PC,EL,2008,8.7,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,IN,PC,ES,2008,8.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,IN,PC,FR,2008,13.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,IN,PC,HU,2008,14.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,IN,PC,LV,2008,13.3,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,IN,PC,MT,2008,9.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,IN,PC,PL,2008,11.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,IN,PC,RO,2008,5.8,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,IN,PC,SI,2008,9.7,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED3_4,IN,PC,SK,2008,10.7,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,DAY,PC,AT,2008,9.5,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,DAY,PC,BE,2008,8.7,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,DAY,PC,BG,2008,2.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,DAY,PC,CY,2008,7.2,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,DAY,PC,CZ,2008,5.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,DAY,PC,EL,2008,8.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,TOTAL,ED5_6,DAY,PC,ES,2008,6.9,
