STRUCTURE,STRUCTURE_ID,freq,age,isced97,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,F,PC,AT,2008,67.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,F,PC,BE,2008,72.3,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,F,PC,BG,2008,48.4,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,F,PC,CY,2008,62,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,F,PC,CZ,2008,67.8,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,F,PC,EL,2008,71.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,F,PC,ES,2008,69.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,F,PC,HU,2008,70.2,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,F,PC,LV,2008,51.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,F,PC,MT,2008,60.4,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,F,PC,PL,2008,64.4,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,F,PC,RO,2008,46.4,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,F,PC,SI,2008,65.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,F,PC,SK,2008,64.8,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,F,PC,TR,2008,36.3,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,M,PC,AT,2008,45.5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,M,PC,BE,2008,54.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,M,PC,BG,2008,34.2,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,M,PC,CY,2008,47.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,M,PC,CZ,2008,40.3,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,M,PC,EL,2008,51,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,M,PC,ES,2008,51.4,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,M,PC,HU,2008,51.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,M,PC,LV,2008,29.4,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,M,PC,MT,2008,53.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,M,PC,PL,2008,41.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,ED0-2,M,PC,RO,2008,30.1,
