STRUCTURE,STRUCTURE_ID,freq,sex,age,quant_inc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,AT,2019,9.9,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,BE,2019,35.5,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,BG,2019,1.0,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,CY,2019,10.3,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,CZ,2019,7.7,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,DE,2019,19.7,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,DK,2019,23.9,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,EE,2019,8.0,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,EL,2019,12.7,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,ES,2019,13.8,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,EU27_2020,2019,14.6,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,FI,2019,22.2,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,FR,2019,16.7,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,HR,2019,18.8,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,HU,2019,7.6,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,IE,2019,35.5,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,IS,2019,23.7,u
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,IT,2019,13.8,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,LT,2019,5.9,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,LU,2019,19.1,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,LV,2019,5.6,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,MT,2019,27.5,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,NL,2019,14.6,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,NO,2019,15.6,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,PL,2019,4.9,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,PT,2019,16.1,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,RO,2019,8.6,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,RS,2019,5.3,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,SE,2019,20.7,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,SI,2019,6.2,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,SK,2019,3.0,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU1,PC,TR,2019,1.3,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,AT,2019,8.9,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,BE,2019,28.8,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,BG,2019,2.3,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,CY,2019,8.0,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,CZ,2019,9.3,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,DE,2019,20.7,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,DK,2019,20.6,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,EE,2019,12.7,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,EL,2019,25.2,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,ES,2019,22.7,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,EU27_2020,2019,18.3,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,FI,2019,35.5,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,FR,2019,17.6,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,HR,2019,19.1,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,HU,2019,11.1,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,IE,2019,34.5,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,IS,2019,40.8,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,IT,2019,17.1,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,LT,2019,6.6,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,LU,2019,16.4,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,LV,2019,6.7,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,MT,2019,32.8,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,NL,2019,25.0,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,NO,2019,20.6,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,PL,2019,7.0,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,PT,2019,31.2,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,RO,2019,10.5,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,RS,2019,4.6,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,SE,2019,21.4,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,SI,2019,6.8,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,SK,2019,7.0,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU2,PC,TR,2019,1.6,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU3,PC,AT,2019,7.9,
dataflow,ESTAT:HLTH_EHIS_PA1I(1.0),A,F,TOTAL,QU3,PC,BE,2019,30.0,
