STRUCTURE,STRUCTURE_ID,freq,assist,lev_limit,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,AT,2019,20.5,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,BE,2019,0,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,BG,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,CY,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,CZ,2019,16.2,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,DE,2019,11.8,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,DK,2019,19.0,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,EE,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,EL,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,ES,2019,9.7,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,EU27_2020,2019,12.4,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,FI,2019,9.2,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,FR,2019,5.8,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,HR,2019,14.9,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,HU,2019,4.0,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,IE,2019,23.2,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,IS,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,IT,2019,35.7,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,LT,2019,37.3,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,LU,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,LV,2019,24.3,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,MT,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,NL,2019,12.1,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,NO,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,PL,2019,8.6,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,PT,2019,15.8,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,RO,2019,12.8,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,RS,2019,27.3,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,SE,2019,5.1,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,SI,2019,14.8,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,SK,2019,17.9,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,F,PC,TR,2019,4.9,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,AT,2019,20.9,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,BE,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,BG,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,CY,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,CZ,2019,9.7,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,DE,2019,4.1,
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,DK,2019,7.7,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,EE,2019,,u
dataflow,ESTAT:HLTH_EHIS_PCHLPD(1.0),A,ENO,MOD,Y55-64,M,PC,EL,2019,,u
