STRUCTURE,STRUCTURE_ID,freq,unit,duration,sex,age,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,AT,2019,10.6,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,BE,2019,11.5,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,BG,2019,14.2,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,CY,2019,5.7,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,CZ,2019,16.0,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,DE,2019,13.9,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,DK,2019,14.6,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,EE,2019,15.4,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,EL,2019,3.8,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,ES,2019,9.1,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,EU27_2020,2019,11.5,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,FI,2019,,u
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,FR,2019,11.9,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,HR,2019,14.0,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,HU,2019,16.5,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,IE,2019,7.8,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,IS,2019,13.2,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,IT,2019,8.5,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,LT,2019,23.5,u
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,LU,2019,12.6,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,LV,2019,13.8,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,MT,2019,14.4,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,NL,2019,0,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,NO,2019,16.9,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,PL,2019,13.0,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,PT,2019,11.3,u
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,RO,2019,15.1,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,RS,2019,8.7,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,SE,2019,14.1,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,SI,2019,15.8,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,SK,2019,23.1,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED0-2,TR,2019,7.6,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,AT,2019,11.8,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,BE,2019,11.6,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,BG,2019,9.8,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,CY,2019,10.8,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,CZ,2019,11.5,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,DE,2019,10.5,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,DK,2019,13.8,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,EE,2019,13.9,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,EL,2019,9.8,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,ES,2019,11.7,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,EU27_2020,2019,12.5,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,FI,2019,,u
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,FR,2019,17.7,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,HR,2019,11.1,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,HU,2019,11.1,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,IE,2019,16.0,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,IS,2019,13.6,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,IT,2019,12.9,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,LT,2019,19.8,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,LU,2019,12.8,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,LV,2019,17.1,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,MT,2019,14.2,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,NL,2019,0,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,NO,2019,11.6,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,PL,2019,13.9,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,PT,2019,13.7,u
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,RO,2019,15.1,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,RS,2019,12.1,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,SE,2019,16.2,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,SI,2019,8.5,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,SK,2019,18.3,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED3_4,TR,2019,5.6,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED5-8,AT,2019,15.2,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED5-8,BE,2019,14.5,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED5-8,BG,2019,7.1,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED5-8,CY,2019,14.8,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED5-8,CZ,2019,16.1,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED5-8,DE,2019,14.8,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED5-8,DK,2019,14.8,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED5-8,EE,2019,18.2,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED5-8,EL,2019,8.4,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED5-8,ES,2019,10.1,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED5-8,EU27_2020,2019,15.0,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED5-8,FI,2019,,u
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED5-8,FR,2019,16.6,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED5-8,HR,2019,12.2,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED5-8,HU,2019,16.6,
dataflow,ESTAT:HLTH_EHIS_SK5E(1.0),A,PC,Y1-5,F,TOTAL,ED5-8,IE,2019,19.7,
