STRUCTURE,STRUCTURE_ID,freq,unit,lev_perc,sex,age,lev_limit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,AT,2014,40.8,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,AT,2019,39.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,BE,2014,49.3,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,BE,2019,49.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,BG,2014,57.0,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,BG,2019,59.9,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,CY,2014,36.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,CY,2019,27.0,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,CZ,2014,54.5,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,CZ,2019,53.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,DE,2014,53.3,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,DE,2019,45.8,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,DK,2014,48.1,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,DK,2019,48.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,EE,2014,58.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,EE,2019,59.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,EL,2014,54.1,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,EL,2019,48.3,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,ES,2014,38.0,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,ES,2019,31.9,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,EU27_2020,2014,50.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,EU27_2020,2019,48.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,EU28,2014,49.3,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,FI,2014,55.1,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,FI,2019,54.8,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,FR,2014,53.0,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,FR,2019,50.3,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,HR,2014,43.3,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,HR,2019,45.8,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,HU,2014,50.4,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,HU,2019,46.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,IE,2014,44.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,IE,2019,33.0,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,IS,2014,32.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,IS,2019,36.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,IT,2014,53.3,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,IT,2019,52.9,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,LT,2014,55.8,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,LT,2019,57.1,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,LU,2014,49.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,LU,2019,49.0,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,LV,2014,56.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,LV,2019,52.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,MT,2014,51.3,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,MT,2019,48.9,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,NL,2014,49.4,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,NL,2019,53.0,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,NO,2014,44.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,NO,2019,42.3,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,PL,2014,53.4,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,PL,2019,53.3,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,PT,2014,53.0,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,PT,2019,55.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,RO,2014,54.9,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,RO,2019,58.4,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,MOD,RS,2019,60.7,
