STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,levels,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,MOD,PC,BG,2008,16.8,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,MOD,PC,CY,2008,7.8,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,MOD,PC,CZ,2008,6.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,MOD,PC,EL,2008,9.5,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,MOD,PC,ES,2008,6.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,MOD,PC,FR,2008,4.5,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,MOD,PC,HU,2008,13.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,MOD,PC,LV,2008,13.5,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,MOD,PC,MT,2008,6.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,MOD,PC,PL,2008,13.6,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,MOD,PC,RO,2008,12.9,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,MOD,PC,SI,2008,13.9,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,MOD,PC,SK,2008,15.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,MOD,PC,TR,2008,10.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,NONE,PC,BG,2008,64.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,NONE,PC,CY,2008,76.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,NONE,PC,CZ,2008,77.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,NONE,PC,EL,2008,72.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,NONE,PC,ES,2008,80.9,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,NONE,PC,FR,2008,80.6,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,NONE,PC,HU,2008,61.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,NONE,PC,LV,2008,65.6,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,NONE,PC,MT,2008,81.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,NONE,PC,PL,2008,65.6,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,NONE,PC,RO,2008,79.5,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,NONE,PC,SI,2008,66.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,NONE,PC,SK,2008,65.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,NONE,PC,TR,2008,78.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,TOTAL,ED0-2,SEV,PC,BG,2008,18.6,
