STRUCTURE,STRUCTURE_ID,freq,icd10,sex,age,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED0-2,AT,2008,10.7,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED0-2,BE,2008,7.1,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED0-2,BG,2008,7.2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED0-2,CY,2008,9.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED0-2,CZ,2008,10.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED0-2,DE,2008,11.5,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED0-2,EE,2008,7.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED0-2,EL,2008,15.2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED0-2,ES,2008,9,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED0-2,FR,2008,8.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED0-2,HU,2008,14.2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED0-2,LV,2008,6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED0-2,MT,2008,12.9,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED0-2,PL,2008,11.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED0-2,RO,2008,4.7,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED0-2,SI,2008,14.0,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED0-2,SK,2008,15.2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED0-2,TR,2008,7.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,TOTAL,ED3_4,AT,2008,4,
