STRUCTURE,STRUCTURE_ID,freq,sex,age,levels,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED0-2,BG,2008,17.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED0-2,CY,2008,20.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED0-2,CZ,2008,19.4,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED0-2,EE,2008,22.7,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED0-2,EL,2008,30.8,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED0-2,ES,2008,10.7,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED0-2,HU,2008,30.1,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED0-2,LV,2008,27.0,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED0-2,MT,2008,35.9,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED0-2,PL,2008,20.5,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED0-2,RO,2008,33.2,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED0-2,SI,2008,19.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED0-2,SK,2008,27.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED0-2,TR,2008,23.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED3_4,BG,2008,22.4,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED3_4,CY,2008,16.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED3_4,CZ,2008,26.1,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED3_4,EE,2008,27.4,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED3_4,EL,2008,22.4,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED3_4,ES,2008,14.8,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED3_4,HU,2008,33.1,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED3_4,LV,2008,30.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED3_4,MT,2008,31.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED3_4,PL,2008,26.4,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED3_4,RO,2008,38.2,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED3_4,SI,2008,30.5,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED3_4,SK,2008,36.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED3_4,TR,2008,17.8,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED5_6,BG,2008,24.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED5_6,CY,2008,14.8,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED5_6,CZ,2008,21.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED5_6,EE,2008,28.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED5_6,EL,2008,25.2,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED5_6,ES,2008,16.7,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED5_6,HU,2008,40.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED5_6,LV,2008,30.2,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED5_6,MT,2008,28.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED5_6,PL,2008,27.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED5_6,RO,2008,29.8,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED5_6,SI,2008,27.9,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED5_6,SK,2008,42.9,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,ED5_6,TR,2008,22.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,TOTAL,BG,2008,21.2,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,TOTAL,CY,2008,17.5,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,TOTAL,CZ,2008,24.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,TOTAL,EE,2008,26.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,TOTAL,EL,2008,26.7,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,TOTAL,ES,2008,13.0,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,TOTAL,HU,2008,33.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,TOTAL,LV,2008,29.4,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,TOTAL,MT,2008,32.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,TOTAL,PL,2008,25.1,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,TOTAL,RO,2008,35.4,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,TOTAL,SI,2008,26.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,TOTAL,SK,2008,36.2,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,LOW,TOTAL,TR,2008,22.5,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,MOD,ED0-2,BG,2008,24.8,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,MOD,ED0-2,CY,2008,18.7,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,MOD,ED0-2,CZ,2008,18.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,MOD,ED0-2,EE,2008,21.7,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,MOD,ED0-2,EL,2008,17.1,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,MOD,ED0-2,ES,2008,22.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,MOD,ED0-2,HU,2008,22.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,MOD,ED0-2,LV,2008,18.7,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,MOD,ED0-2,MT,2008,18.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,MOD,ED0-2,PL,2008,30.9,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,MOD,ED0-2,RO,2008,29.0,
