STRUCTURE,STRUCTURE_ID,freq,unit,lev_diff,assist,age,quant_inc,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,AT,2019,37.3,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,BE,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,BG,2019,8.1,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,CY,2019,33.2,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,CZ,2019,14.7,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,DE,2019,24.9,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,DK,2019,21.1,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,EE,2019,43.2,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,EL,2019,53.4,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,ES,2019,36.4,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,EU27_2020,2019,28.5,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,FI,2019,24.0,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,FR,2019,44.0,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,HR,2019,23.2,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,HU,2019,17.5,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,IE,2019,24.4,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,IT,2019,27.5,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,LT,2019,46.1,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,LU,2019,18.0,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,LV,2019,42.3,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,MT,2019,15.1,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,NL,2019,31.8,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,NO,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,PL,2019,19.6,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,PT,2019,31.9,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,RO,2019,31.1,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,RS,2019,23.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,SE,2019,14.1,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,SI,2019,32.4,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,SK,2019,35.4,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU1,TR,2019,7.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,AT,2019,41.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,BE,2019,,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,BG,2019,31.1,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,CY,2019,44.6,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,CZ,2019,13.7,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,DE,2019,30.0,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,DK,2019,10.9,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,EE,2019,48.9,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,EL,2019,35.7,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,ES,2019,49.8,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,EU27_2020,2019,31.7,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,FI,2019,10.0,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,FR,2019,35.2,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,HR,2019,22.2,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,HU,2019,12.7,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,IE,2019,37.3,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,IT,2019,37.1,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,LT,2019,55.5,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,LU,2019,15.1,u
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,LV,2019,56.7,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,MT,2019,12.7,
dataflow,ESTAT:HLTH_EHIS_TADLHI(1.0),A,PC,LTD,ENO,Y55-64,QU2,NL,2019,44.0,
