STRUCTURE,STRUCTURE_ID,freq,age,deg_urb,lev_diff,assist,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,ENO,PC,AT,2019,40.4,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,ENO,PC,BE,2019,0,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,ENO,PC,BG,2019,28.3,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,ENO,PC,CY,2019,43.6,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,ENO,PC,CZ,2019,10.4,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,ENO,PC,DE,2019,33.6,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,ENO,PC,DK,2019,15.0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,ENO,PC,EE,2019,50.3,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,ENO,PC,EL,2019,46.7,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,ENO,PC,ES,2019,50.5,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,ENO,PC,EU27_2020,2019,34.0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,ENO,PC,FI,2019,22.4,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,ENO,PC,FR,2019,44.9,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,ENO,PC,HR,2019,31.8,u
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,ENO,PC,HU,2019,6.0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,ENO,PC,IE,2019,35.0,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,ENO,PC,IS,2019,40.6,
dataflow,ESTAT:HLTH_EHIS_TADLHU(1.0),A,Y55-64,DEG1,LTD,ENO,PC,IT,2019,33.8,
