STRUCTURE,STRUCTURE_ID,freq,sex,age,quant_inc,lev_diff,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,AT,2019,34.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,BE,2019,37.1,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,BG,2019,42.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,CY,2019,30.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,CZ,2019,47.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,DE,2019,58.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,DK,2019,32.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,EE,2019,30.0,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,EL,2019,17.4,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,ES,2019,20.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,EU27_2020,2019,43.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,FI,2019,38.1,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,FR,2019,44.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,HR,2019,31.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,HU,2019,42.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,IE,2019,36.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,IS,2019,46.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,IT,2019,27.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,LT,2019,62.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,LU,2019,37.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,LV,2019,64.0,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,MT,2019,35.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,NL,2019,65.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,NO,2019,25.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,PL,2019,54.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,PT,2019,36.2,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,RO,2019,53.0,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,RS,2019,38.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,SE,2019,61.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,SI,2019,34.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,SK,2019,57.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,LTD,PC,TR,2019,61.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,AT,2019,18.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,BE,2019,15.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,BG,2019,21.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,CY,2019,14.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,CZ,2019,25.7,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,DE,2019,40.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,DK,2019,18.6,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,EE,2019,5.8,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,EL,2019,7.3,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,ES,2019,6.9,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,EU27_2020,2019,24.5,
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,FI,2019,31.6,u
dataflow,ESTAT:HLTH_EHIS_TAI(1.0),A,F,Y55-64,QU1,MOD,PC,FR,2019,21.4,
