STRUCTURE,STRUCTURE_ID,freq,unit,reason,isced11,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,AT,2014,3.2,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,AT,2019,4.1,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,BE,2019,2.4,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,BG,2014,7.5,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,BG,2019,7.1,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,CY,2014,0.2,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,CY,2019,0.4,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,CZ,2014,10.4,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,CZ,2019,7.7,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,DE,2014,5.7,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,DE,2019,6.5,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,DK,2014,3.0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,DK,2019,4.9,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,EE,2014,5.9,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,EE,2019,3.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,EL,2014,13.1,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,EL,2019,8.7,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,ES,2014,1.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,ES,2019,1.5,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,EU27_2020,2014,6.1,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,EU27_2020,2019,5.6,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,EU28,2014,5.7,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,FI,2014,7.2,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,FI,2019,5.1,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,FR,2019,5.4,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,HR,2014,7.4,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,HR,2019,12.5,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,HU,2014,4.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,HU,2019,3.2,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,IE,2014,11.3,u
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,IE,2019,3.1,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,IS,2014,5.6,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,IS,2019,6.3,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,IT,2014,11.9,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,IT,2019,10.1,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,LT,2014,7.2,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,LT,2019,8.1,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,LU,2014,3.7,u
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,LU,2019,8.6,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,LV,2014,15.0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,LV,2019,12.4,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,MT,2014,3.4,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,MT,2019,3.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,NL,2014,2.9,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,NL,2019,3.5,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,NO,2014,1.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,NO,2019,2.1,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,PL,2014,8.1,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,PL,2019,8.1,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,PT,2014,4.0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,PT,2019,6.0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,RO,2014,2.6,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,RO,2019,3.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,RS,2019,8.9,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,SE,2014,4.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,SE,2019,4.5,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,SI,2014,3.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,SI,2019,4.5,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,SK,2014,1.7,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,SK,2019,3.7,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,TR,2014,13.9,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,TR,2019,14.7,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,TOTAL,UK,2014,2.9,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,AT,2014,2.5,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,AT,2019,2.0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,BE,2019,1.9,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,BG,2014,0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,BG,2019,0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,CY,2014,0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,CY,2019,0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,CZ,2014,3.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,CZ,2019,2.6,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,DE,2014,4.6,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,DE,2019,8.1,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,DK,2014,1.5,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,DK,2019,4.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,EE,2014,6.5,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,EE,2019,0,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,EL,2014,3.2,u
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,EL,2019,0,u
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,ES,2014,1.2,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,ES,2019,0.7,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,EU27_2020,2014,2.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,EU27_2020,2019,3.6,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,EU28,2014,2.8,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,FI,2014,5.4,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,FI,2019,4.3,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,FR,2019,2.7,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,HR,2014,0.9,
dataflow,ESTAT:HLTH_EHIS_UN1E(1.0),A,PC,FAR_TRA,ED0-2,F,Y15-24,HR,2019,11.8,u
