STRUCTURE,STRUCTURE_ID,freq,sex,age,hlthcare,quant_inc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,AT,2019,12.6,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,BG,2019,22.5,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,CY,2019,6.8,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,CZ,2019,5.8,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,DE,2019,14.1,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,DK,2019,24.0,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,EE,2019,32.6,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,EL,2019,27.0,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,ES,2019,19.7,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,EU27_2020,2019,19.0,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,FI,2019,33.6,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,FR,2019,21.6,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,HR,2019,10.2,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,HU,2019,17.7,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,IE,2019,13.3,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,IS,2019,12.9,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,IT,2019,19.1,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,LT,2019,22.7,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,LU,2019,19.5,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,LV,2019,44.8,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,MT,2019,5.4,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,NL,2019,12.2,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,NO,2019,10.8,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,PL,2019,20.9,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,PT,2019,43.9,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,RO,2019,21.5,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,RS,2019,23.9,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,SE,2019,30.7,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,SI,2019,15.0,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,SK,2019,11.3,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU1,PC,TR,2019,19.5,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,AT,2019,11.7,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,BG,2019,21.8,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,CY,2019,4.5,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,CZ,2019,2.1,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,DE,2019,11.9,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,DK,2019,19.0,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,EE,2019,29.0,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,EL,2019,19.7,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,ES,2019,13.2,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,EU27_2020,2019,14.3,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,FI,2019,25.2,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,FR,2019,16.9,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,HR,2019,14.7,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,HU,2019,13.9,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,IE,2019,10.8,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,IS,2019,24.0,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,IT,2019,12.5,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,LT,2019,19.8,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,LU,2019,10.6,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,LV,2019,31.7,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,MT,2019,4.9,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,NL,2019,6.9,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,NO,2019,5.1,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,PL,2019,10.6,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,PT,2019,36.9,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,RO,2019,14.6,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,RS,2019,16.5,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,SE,2019,21.9,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,SI,2019,12.8,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,SK,2019,10.3,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU2,PC,TR,2019,13.7,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU3,PC,AT,2019,9.0,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU3,PC,BG,2019,14.3,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU3,PC,CY,2019,3.3,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU3,PC,CZ,2019,1.5,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU3,PC,DE,2019,9.9,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU3,PC,DK,2019,15.3,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU3,PC,EE,2019,33.8,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU3,PC,EL,2019,11.4,
dataflow,ESTAT:HLTH_EHIS_UN2I(1.0),A,F,TOTAL,HC_DENT,QU3,PC,ES,2019,11.6,
