STRUCTURE,STRUCTURE_ID,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1960,1.00,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1961,1.10,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1962,1.10,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1963,1.10,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1964,1.10,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1965,1.10,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1966,1.20,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1967,1.20,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1968,1.20,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1969,1.20,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1970,1.18,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1971,1.18,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1972,1.17,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1973,0.89,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1974,1.23,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1975,1.21,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1976,1.23,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1977,1.24,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1978,1.25,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1979,1.25,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1980,1.27,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1981,1.26,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1982,1.27,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1983,1.28,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1984,1.30,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1985,1.31,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1986,1.31,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1987,1.31,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1988,1.33,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1989,1.33,d
dataflow,ESTAT:HLTH_HC_DENT(1.0),A,NR_HAB,AT,1990,1.34,d
