STRUCTURE,STRUCTURE_ID,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1960,4.30,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1961,4.50,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1962,4.40,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1963,4.70,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1964,4.80,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1965,4.90,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1966,4.90,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1967,5.00,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1968,5.00,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1969,5.20,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1970,5.20,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1971,5.20,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1972,5.20,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1973,5.10,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1974,5.20,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1975,5.30,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1976,5.40,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1977,5.30,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1978,5.30,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1979,5.30,d
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,AT,1980,5.40,d
