STRUCTURE,STRUCTURE_ID,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,AT,2004,73.5,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,AT,2005,72.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,AT,2006,73.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,AT,2007,73.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,AT,2008,71.9,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,AT,2009,73.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,AT,2010,72.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,AT,2011,71.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,AT,2012,74.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,AT,2013,71.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,AT,2014,68.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,AT,2015,69.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,AT,2016,67.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,AT,2017,67.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,AT,2018,67.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,AT,2019,68.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,AT,2020,70.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,AT,2021,73.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BE,2004,71.3,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BE,2005,76.1,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BE,2006,76.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BE,2007,77.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BE,2008,77.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BE,2009,77.0,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BE,2010,75.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BE,2011,76.3,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BE,2012,78.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BE,2013,76.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BE,2014,75.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BE,2015,76.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BE,2016,75.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BE,2017,76.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BE,2018,75.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BE,2019,74.5,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BE,2020,77.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BE,2021,76.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BG,2006,94.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BG,2007,96.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BG,2008,85.4,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,BG,2009,85.0,
